qid,sitelinks,lang
Q296724,34,Arabic
Q314691,35,Arabic
Q312611,35,Arabic
Q315587,36,Arabic
Q315158,37,Arabic
Q39691,38,Arabic
Q159378,47,Arabic
Q3274102,9,Chinese
Q716959,9,Chinese
Q6059091,9,Chinese
Q716097,9,Chinese
Q11071010,9,Chinese
Q3051986,9,Chinese
Q576272,9,Chinese
Q2095915,9,Chinese
Q837331,9,Chinese
Q6777860,9,Chinese
Q731003,9,Chinese
Q3274611,9,Chinese
Q708535,9,Chinese
Q698353,9,Chinese
Q842505,9,Chinese
Q5787518,9,Chinese
Q4531631,9,Chinese
Q3022453,9,Chinese
Q697733,9,Chinese
Q715280,9,Chinese
Q1069897,9,Chinese
Q3436012,9,Chinese
Q716429,9,Chinese
Q6123787,9,Chinese
Q3569077,9,Chinese
Q545822,9,Chinese
Q7308489,9,Chinese
Q8053521,9,Chinese
Q19800,9,Chinese
Q716041,9,Chinese
Q709905,9,Chinese
Q15088264,9,Chinese
Q1926859,10,Chinese
Q4256063,10,Chinese
Q700481,10,Chinese
Q707927,10,Chinese
Q5894047,10,Chinese
Q589406,10,Chinese
Q2281991,10,Chinese
Q1335071,10,Chinese
Q1076775,10,Chinese
Q10910024,10,Chinese
Q707594,10,Chinese
Q3267036,10,Chinese
Q16948404,10,Chinese
Q704330,10,Chinese
Q323519,10,Chinese
Q713079,10,Chinese
Q8299200,10,Chinese
Q707031,10,Chinese
Q3755285,10,Chinese
Q4053873,10,Chinese
Q6539998,10,Chinese
Q363049,10,Chinese
Q706349,10,Chinese
Q699144,10,Chinese
Q701418,10,Chinese
Q705850,10,Chinese
Q709878,11,Chinese
Q701445,11,Chinese
Q698537,11,Chinese
Q710402,11,Chinese
Q86362,11,Chinese
Q1412041,11,Chinese
Q2300087,11,Chinese
Q838069,11,Chinese
Q842272,11,Chinese
Q708966,11,Chinese
Q8426451,11,Chinese
Q712109,11,Chinese
Q8308839,11,Chinese
Q971925,11,Chinese
Q712806,11,Chinese
Q537130,11,Chinese
Q718107,11,Chinese
Q495182,11,Chinese
Q16260902,11,Chinese
Q333469,11,Chinese
Q716911,12,Chinese
Q699110,12,Chinese
Q988431,12,Chinese
Q710049,12,Chinese
Q1317110,12,Chinese
Q9312298,12,Chinese
Q11101097,12,Chinese
Q1069890,12,Chinese
Q1192341,12,Chinese
Q492897,12,Chinese
Q606759,12,Chinese
Q1135688,12,Chinese
Q716338,12,Chinese
Q724200,12,Chinese
Q2311429,12,Chinese
Q10867353,12,Chinese
Q116624,12,Chinese
Q606539,12,Chinese
Q1154748,12,Chinese
Q704286,13,Chinese
Q711873,13,Chinese
Q197347,13,Chinese
Q712007,13,Chinese
Q2311485,13,Chinese
Q711071,13,Chinese
Q934493,13,Chinese
Q519871,13,Chinese
Q3112861,13,Chinese
Q1386208,13,Chinese
Q716929,13,Chinese
Q1369370,14,Chinese
Q5246464,14,Chinese
Q697686,14,Chinese
Q706876,14,Chinese
Q564886,14,Chinese
Q1367171,14,Chinese
Q696704,14,Chinese
Q1320703,14,Chinese
Q6932396,14,Chinese
Q448018,15,Chinese
Q700284,15,Chinese
Q382192,15,Chinese
Q465264,15,Chinese
Q704565,15,Chinese
Q705864,15,Chinese
Q702111,15,Chinese
Q709887,15,Chinese
Q197624,15,Chinese
Q709248,15,Chinese
Q711989,15,Chinese
Q3270698,15,Chinese
Q197295,15,Chinese
Q597003,16,Chinese
Q715627,16,Chinese
Q1207679,16,Chinese
Q4108141,16,Chinese
Q709550,16,Chinese
Q198153,17,Chinese
Q701020,17,Chinese
Q704276,17,Chinese
Q1167488,17,Chinese
Q1396175,17,Chinese
Q62126,17,Chinese
Q706293,17,Chinese
Q708819,17,Chinese
Q84015,18,Chinese
Q256411,18,Chinese
Q84018,18,Chinese
Q519381,18,Chinese
Q702416,18,Chinese
Q703153,19,Chinese
Q379806,19,Chinese
Q1352743,19,Chinese
Q242101,19,Chinese
Q636593,20,Chinese
Q3272963,20,Chinese
Q198051,21,Chinese
Q706837,21,Chinese
Q1326844,21,Chinese
Q704161,22,Chinese
Q455583,22,Chinese
Q588110,22,Chinese
Q77895,22,Chinese
Q705832,22,Chinese
Q1150358,22,Chinese
Q544432,22,Chinese
Q144348,23,Chinese
Q1191225,23,Chinese
Q253682,23,Chinese
Q445747,23,Chinese
Q724165,23,Chinese
Q700939,23,Chinese
Q381822,24,Chinese
Q716743,24,Chinese
Q509360,25,Chinese
Q513976,25,Chinese
Q371966,26,Chinese
Q365894,27,Chinese
Q455589,27,Chinese
Q559750,28,Chinese
Q147220,28,Chinese
Q253862,29,Chinese
Q20148,29,Chinese
Q254196,29,Chinese
Q466972,29,Chinese
Q558670,29,Chinese
Q5576440,30,Chinese
Q4054419,31,Chinese
Q313322,32,Chinese
Q1342961,32,Chinese
Q47667,34,Chinese
Q444591,35,Chinese
Q264517,35,Chinese
Q357821,36,Chinese
Q358494,37,Chinese
Q378517,38,Chinese
Q313324,47,Chinese
Q4667580,9,English
Q15454863,9,English
Q1000314,9,English
Q1441573,9,English
Q2914916,9,English
Q739663,9,English
Q4116400,9,English
Q522653,9,English
Q3666752,9,English
Q258542,9,English
Q433511,9,English
Q5176449,9,English
Q7822416,9,English
Q334381,9,English
Q5346943,9,English
Q5082131,9,English
Q2614411,9,English
Q3666370,9,English
Q782091,9,English
Q5438916,9,English
Q1800860,9,English
Q548910,9,English
Q3261579,9,English
Q1677382,9,English
Q8004185,9,English
Q997875,9,English
Q704053,9,English
Q3314519,9,English
Q256945,9,English
Q491933,9,English
Q5214499,9,English
Q354467,9,English
Q3761328,10,English
Q335270,10,English
Q540321,10,English
Q335368,10,English
Q2960351,10,English
Q3530860,10,English
Q5538420,10,English
Q929597,10,English
Q888034,10,English
Q3809097,10,English
Q5574966,10,English
Q921413,10,English
Q2836594,10,English
Q957941,10,English
Q467426,10,English
Q2006459,10,English
Q629304,10,English
Q1563059,10,English
Q1372753,10,English
Q457691,10,English
Q715842,10,English
Q1173432,10,English
Q5004353,10,English
Q332941,10,English
Q2637530,10,English
Q4647699,10,English
Q325998,11,English
Q1856064,11,English
Q75579,11,English
Q2729586,11,English
Q7151167,11,English
Q15783380,11,English
Q2658365,11,English
Q4886338,11,English
Q3611689,11,English
Q713071,11,English
Q2528543,11,English
Q724083,11,English
Q3269478,11,English
Q6779661,11,English
Q2165507,11,English
Q4087253,11,English
Q1386741,11,English
Q1699321,11,English
Q446214,11,English
Q5727098,11,English
Q1775876,12,English
Q1234977,12,English
Q719427,12,English
Q2335415,12,English
Q5492577,12,English
Q163338,12,English
Q4469967,12,English
Q535185,12,English
Q439156,12,English
Q1859470,12,English
Q3264373,12,English
Q2746012,12,English
Q1160619,12,English
Q883562,12,English
Q1097664,12,English
Q3105833,12,English
Q980702,12,English
Q276106,12,English
Q3048762,12,English
Q3182524,13,English
Q1361069,13,English
Q1561032,13,English
Q1159067,13,English
Q6730190,13,English
Q272575,13,English
Q355894,13,English
Q2708628,13,English
Q968718,13,English
Q323647,13,English
Q3115403,13,English
Q862152,14,English
Q3481825,14,English
Q125892,14,English
Q586756,14,English
Q3161467,14,English
Q3101412,14,English
Q2061698,14,English
Q3319627,14,English
Q2744961,14,English
Q641011,15,English
Q1461043,15,English
Q510115,15,English
Q329849,15,English
Q627985,15,English
Q1385418,15,English
Q273814,15,English
Q3047268,15,English
Q3320035,15,English
Q363809,15,English
Q432421,15,English
Q2586583,15,English
Q888979,15,English
Q3189043,16,English
Q1304656,16,English
Q736903,16,English
Q450065,16,English
Q966689,16,English
Q4260699,17,English
Q1357189,17,English
Q101951,17,English
Q708561,17,English
Q449616,17,English
Q531312,17,English
Q1847082,17,English
Q5571391,17,English
Q955048,18,English
Q953019,18,English
Q77608,18,English
Q119198,18,English
Q323511,18,English
Q333080,19,English
Q326878,19,English
Q671958,19,English
Q729356,19,English
Q2903466,20,English
Q16202598,20,English
Q727178,21,English
Q538508,21,English
Q939117,21,English
Q966018,22,English
Q936548,22,English
Q709751,22,English
Q445719,22,English
Q1350928,22,English
Q336036,22,English
Q550784,22,English
Q527997,23,English
Q1332885,23,English
Q4406004,23,English
Q512535,23,English
Q1936356,23,English
Q706246,23,English
Q293067,24,English
Q462269,24,English
Q438891,25,English
Q561234,25,English
Q242482,26,English
Q728050,27,English
Q711415,27,English
Q333691,28,English
Q718786,28,English
Q265037,29,English
Q472593,29,English
Q706678,29,English
Q2704774,29,English
Q718012,29,English
Q552255,30,English
Q704893,31,English
Q240193,32,English
Q128686,32,English
Q301983,34,English
Q370705,35,English
Q6075068,35,English
Q342765,36,English
Q235305,37,English
Q242477,38,English
Q286890,47,English
Q963637,9,French
Q3175280,9,French
Q745589,9,French
Q562042,9,French
Q116790,9,French
Q1897097,9,French
Q355587,9,French
Q587269,9,French
Q456762,9,French
Q584749,9,French
Q3072278,9,French
Q1350177,9,French
Q3260698,9,French
Q2720200,9,French
Q643476,9,French
Q2304284,9,French
Q3298953,9,French
Q920147,9,French
Q707274,9,French
Q116793,9,French
Q245776,9,French
Q2037792,9,French
Q589562,9,French
Q956537,9,French
Q2067096,9,French
Q227099,9,French
Q2916519,9,French
Q770423,9,French
Q1230002,9,French
Q1658333,9,French
Q4310076,9,French
Q2779300,9,French
Q382755,10,French
Q977001,10,French
Q289732,10,French
Q708931,10,French
Q968500,10,French
Q449686,10,French
Q372537,10,French
Q786579,10,French
Q1682710,10,French
Q3294664,10,French
Q3963190,10,French
Q1399527,10,French
Q1356274,10,French
Q3039826,10,French
Q3083168,10,French
Q3565005,10,French
Q601170,10,French
Q608429,10,French
Q88720923,10,French
Q965045,10,French
Q601266,10,French
Q2266038,10,French
Q551475,10,French
Q462077,10,French
Q905471,10,French
Q1315266,10,French
Q2729586,11,French
Q274062,11,French
Q1295332,11,French
Q970490,11,French
Q2518312,11,French
Q1386445,11,French
Q275947,11,French
Q2626469,11,French
Q274067,11,French
Q3287816,11,French
Q1382471,11,French
Q2576106,11,French
Q1809457,11,French
Q448927,11,French
Q652253,11,French
Q945057,11,French
Q83761,11,French
Q586317,11,French
Q640564,11,French
Q2518160,11,French
Q969753,12,French
Q838349,12,French
Q167340,12,French
Q3126442,12,French
Q748526,12,French
Q21028005,12,French
Q648856,12,French
Q3099855,12,French
Q650980,12,French
Q1805358,12,French
Q206391,12,French
Q733836,12,French
Q3372612,12,French
Q1029185,12,French
Q764182,12,French
Q163964,12,French
Q51186,12,French
Q139211,12,French
Q3302600,12,French
Q441757,13,French
Q660916,13,French
Q16053,13,French
Q929092,13,French
Q498,13,French
Q2128339,13,French
Q585293,13,French
Q586505,13,French
Q2372509,13,French
Q1153056,13,French
Q889126,13,French
Q922779,14,French
Q22980352,14,French
Q65863,14,French
Q3078546,14,French
Q1290582,14,French
Q537945,14,French
Q1391877,14,French
Q5859357,14,French
Q1388233,14,French
Q912271,15,French
Q279912,15,French
Q1932165,15,French
Q1333348,15,French
Q290061,15,French
Q1373451,15,French
Q1360025,15,French
Q1354117,15,French
Q531900,15,French
Q274023,15,French
Q1362331,15,French
Q1393800,15,French
Q78887,15,French
Q2427436,16,French
Q2292798,16,French
Q530375,16,French
Q954880,16,French
Q260047,16,French
Q2659138,17,French
Q3518359,17,French
Q3661283,17,French
Q318391,17,French
Q705238,17,French
Q1955865,17,French
Q747460,17,French
Q691973,17,French
Q1167073,18,French
Q472540,18,French
Q704871,18,French
Q437433,18,French
Q80358,18,French
Q435585,19,French
Q1019186,19,French
Q93692,19,French
Q1760518,19,French
Q1651660,20,French
Q472068,20,French
Q738494,21,French
Q958953,21,French
Q586426,21,French
Q452282,22,French
Q434177,22,French
Q261818,22,French
Q425373,22,French
Q138105,22,French
Q523581,22,French
Q449513,22,French
Q708359,23,French
Q1344716,23,French
Q705128,23,French
Q72938,23,French
Q364310,23,French
Q551456,23,French
Q349167,24,French
Q531495,24,French
Q60884,25,French
Q537914,25,French
Q446875,26,French
Q345455,27,French
Q462649,27,French
Q365413,28,French
Q364498,28,French
Q347891,29,French
Q470557,29,French
Q235611,29,French
Q379962,29,French
Q434346,29,French
Q470492,30,French
Q314545,31,French
Q442829,32,French
Q316413,32,French
Q315176,34,French
Q366805,35,French
Q469498,35,French
Q355112,36,French
Q312757,37,French
Q159646,38,French
Q159378,47,French
Q79093,9,German
Q20748116,9,German
Q2142639,9,German
Q215876,9,German
Q86593,9,German
Q105026,9,German
Q1389266,9,German
Q215597,9,German
Q553218,9,German
Q215989,9,German
Q3250016,9,German
Q69145,9,German
Q95488,9,German
Q214930,9,German
Q84626,9,German
Q91213,9,German
Q72165,9,German
Q3290749,9,German
Q2209835,9,German
Q96452,9,German
Q85802,9,German
Q281390,9,German
Q649437,9,German
Q1347003,9,German
Q94455,9,German
Q78814,9,German
Q547349,9,German
Q1366545,9,German
Q1425502,9,German
Q78377,9,German
Q90577,9,German
Q216311,9,German
Q95901,10,German
Q181956,10,German
Q84999,10,German
Q85225,10,German
Q76400,10,German
Q73182,10,German
Q92151,10,German
Q1355973,10,German
Q90658,10,German
Q676457,10,German
Q116111,10,German
Q77702,10,German
Q92428,10,German
Q76283,10,German
Q124741,10,German
Q87558,10,German
Q84559,10,German
Q549626,10,German
Q106364,10,German
Q67394,10,German
Q2529303,10,German
Q85554,10,German
Q573548,10,German
Q67402,10,German
Q716095,10,German
Q78239,10,German
Q71903,11,German
Q3136707,11,German
Q79052,11,German
Q71309,11,German
Q1054015,11,German
Q86226,11,German
Q72791,11,German
Q77825,11,German
Q3888272,11,German
Q2394380,11,German
Q69251,11,German
Q112388,11,German
Q90885,11,German
Q67139,11,German
Q3074901,11,German
Q213963,11,German
Q10346296,11,German
Q878228,11,German
Q66477,11,German
Q970111,11,German
Q4597156,12,German
Q67829,12,German
Q84509,12,German
Q104866,12,German
Q67494,12,German
Q113818,12,German
Q544209,12,German
Q45294,12,German
Q184431,12,German
Q96788,12,German
Q67725,12,German
Q1871557,12,German
Q24429,12,German
Q96795,12,German
Q697262,12,German
Q70071,12,German
Q95854,12,German
Q112637,12,German
Q89181,12,German
Q62435,13,German
Q78966,13,German
Q66475,13,German
Q77744,13,German
Q84344,13,German
Q75090,13,German
Q213754,13,German
Q78771,13,German
Q96260,13,German
Q654967,13,German
Q78783,13,German
Q45338,14,German
Q4673,14,German
Q79038,14,German
Q1344125,14,German
Q79047,14,German
Q71387,14,German
Q77478,14,German
Q1391877,14,German
Q72762,14,German
Q64329,15,German
Q4983639,15,German
Q721791,15,German
Q66948,15,German
Q215999,15,German
Q64988,15,German
Q215804,15,German
Q702198,15,German
Q85820,15,German
Q66458,15,German
Q70140,15,German
Q112214,15,German
Q879073,15,German
Q700592,16,German
Q2996747,16,German
Q67535,16,German
Q62686,16,German
Q77480,16,German
Q78631,17,German
Q647871,17,German
Q101214,17,German
Q769826,17,German
Q91587,17,German
Q72374,17,German
Q215636,17,German
Q89520,17,German
Q112202,18,German
Q126270,18,German
Q62916,18,German
Q61008,18,German
Q66248,18,German
Q44839,19,German
Q79125,19,German
Q62115,19,German
Q70707,19,German
Q61009,20,German
Q67160,20,German
Q60312,21,German
Q69314,21,German
Q215853,21,German
Q60753,22,German
Q112153,22,German
Q59972,22,German
Q471751,22,German
Q60817,22,German
Q77095,22,German
Q60302,22,German
Q61093,23,German
Q61793,23,German
Q149415,23,German
Q60715,23,German
Q959002,23,German
Q77333,23,German
Q45221,24,German
Q78714,24,German
Q60247,25,German
Q455008,25,German
Q76755,26,German
Q58776,27,German
Q93397,27,German
Q57500,28,German
Q60131,28,German
Q76435,29,German
Q2704774,29,German
Q169311,29,German
Q170333,29,German
Q465488,29,German
Q327156,30,German
Q60954,31,German
Q2919042,32,German
Q275929,32,German
Q164699,34,German
Q60528,35,German
Q123225,35,German
Q57179,36,German
Q93514,37,German
Q94018,38,German
Q157970,47,German
Q3760549,9,Hindi
Q2364052,9,Hindi
Q7929362,9,Hindi
Q1898192,9,Hindi
Q8071382,9,Hindi
Q13116885,9,Hindi
Q1157945,9,Hindi
Q3532049,9,Hindi
Q3531073,9,Hindi
Q7931282,9,Hindi
Q7461322,9,Hindi
Q18707093,9,Hindi
Q3595206,9,Hindi
Q6061749,9,Hindi
Q560145,9,Hindi
Q6818814,9,Hindi
Q3595867,9,Hindi
Q16619869,9,Hindi
Q3630933,9,Hindi
Q3629963,9,Hindi
Q7686261,9,Hindi
Q4357649,9,Hindi
Q2804726,9,Hindi
Q1206622,9,Hindi
Q3536460,9,Hindi
Q2043591,9,Hindi
Q7633743,9,Hindi
Q4748691,9,Hindi
Q4665603,9,Hindi
Q4770058,9,Hindi
Q20047084,9,Hindi
Q4667580,9,Hindi
Q3366457,10,Hindi
Q7399611,10,Hindi
Q2604943,10,Hindi
Q5710849,10,Hindi
Q576365,10,Hindi
Q3595255,10,Hindi
Q6962310,10,Hindi
Q3635988,10,Hindi
Q4667376,10,Hindi
Q2299630,10,Hindi
Q3595245,10,Hindi
Q457664,10,Hindi
Q6124202,10,Hindi
Q3532094,10,Hindi
Q6414812,10,Hindi
Q7645718,10,Hindi
Q17388667,10,Hindi
Q6173032,10,Hindi
Q21997846,10,Hindi
Q4222507,10,Hindi
Q3347977,10,Hindi
Q6917707,10,Hindi
Q6505202,10,Hindi
Q2364774,10,Hindi
Q12566189,10,Hindi
Q6105676,10,Hindi
Q3633176,11,Hindi
Q2505272,11,Hindi
Q4751468,11,Hindi
Q4699783,11,Hindi
Q7932741,11,Hindi
Q3633081,11,Hindi
Q2552960,11,Hindi
Q6122336,11,Hindi
Q7286477,11,Hindi
Q3764420,11,Hindi
Q6026897,11,Hindi
Q1034290,11,Hindi
Q4747331,11,Hindi
Q3635832,11,Hindi
Q1861686,11,Hindi
Q6712738,11,Hindi
Q7660402,11,Hindi
Q4804549,11,Hindi
Q339715,11,Hindi
Q3763779,11,Hindi
Q4802508,12,Hindi
Q7520685,12,Hindi
Q983457,12,Hindi
Q7918070,12,Hindi
Q7402689,12,Hindi
Q5230578,12,Hindi
Q4725266,12,Hindi
Q3595313,12,Hindi
Q3535567,12,Hindi
Q743568,12,Hindi
Q983548,12,Hindi
Q3348637,12,Hindi
Q3629904,12,Hindi
Q3520800,12,Hindi
Q1647814,12,Hindi
Q441799,12,Hindi
Q15730377,12,Hindi
Q5277871,12,Hindi
Q17285647,12,Hindi
Q817096,13,Hindi
Q2165147,13,Hindi
Q3632287,13,Hindi
Q7852779,13,Hindi
Q4815838,13,Hindi
Q5577574,13,Hindi
Q3631073,13,Hindi
Q7032179,13,Hindi
Q6986935,13,Hindi
Q3080468,13,Hindi
Q7493078,13,Hindi
Q3632712,14,Hindi
Q3526595,14,Hindi
Q1764533,14,Hindi
Q1631452,14,Hindi
Q6017668,14,Hindi
Q3595254,14,Hindi
Q1622265,14,Hindi
Q3273349,14,Hindi
Q3631800,14,Hindi
Q283267,15,Hindi
Q3519783,15,Hindi
Q5653447,15,Hindi
Q1854649,15,Hindi
Q3344892,15,Hindi
Q4133231,15,Hindi
Q4673430,15,Hindi
Q6516265,15,Hindi
Q3426281,15,Hindi
Q3351497,15,Hindi
Q1390822,15,Hindi
Q2628981,15,Hindi
Q4901101,15,Hindi
Q12447893,16,Hindi
Q7901881,16,Hindi
Q1369342,16,Hindi
Q1395448,16,Hindi
Q3520007,16,Hindi
Q7246473,17,Hindi
Q2723734,17,Hindi
Q3595814,17,Hindi
Q7123843,17,Hindi
Q3633385,17,Hindi
Q5439490,17,Hindi
Q3631381,17,Hindi
Q7928181,17,Hindi
Q2721812,18,Hindi
Q3182985,18,Hindi
Q1791448,18,Hindi
Q1850695,18,Hindi
Q1993428,18,Hindi
Q467189,19,Hindi
Q3633274,19,Hindi
Q7286234,19,Hindi
Q575066,19,Hindi
Q523103,20,Hindi
Q7505949,20,Hindi
Q28967460,21,Hindi
Q3520758,21,Hindi
Q562179,21,Hindi
Q468192,22,Hindi
Q3595116,22,Hindi
Q7336478,22,Hindi
Q983057,22,Hindi
Q430992,22,Hindi
Q464914,22,Hindi
Q464950,22,Hindi
Q5650929,23,Hindi
Q2651226,23,Hindi
Q3630336,23,Hindi
Q3345399,23,Hindi
Q854704,23,Hindi
Q2723876,23,Hindi
Q227513,24,Hindi
Q3595860,24,Hindi
Q2763244,25,Hindi
Q358874,25,Hindi
Q1067913,26,Hindi
Q983744,27,Hindi
Q3595303,27,Hindi
Q464900,28,Hindi
Q431601,28,Hindi
Q560515,29,Hindi
Q120411,29,Hindi
Q335284,29,Hindi
Q3631806,29,Hindi
Q3056379,29,Hindi
Q1058806,30,Hindi
Q6203171,31,Hindi
Q3899724,32,Hindi
Q465051,32,Hindi
Q2049688,34,Hindi
Q127868,35,Hindi
Q730045,35,Hindi
Q467336,36,Hindi
Q559774,37,Hindi
Q557749,38,Hindi
Q315338,47,Hindi
Q214953,9,Italian
Q1696807,9,Italian
Q3754799,9,Italian
Q1354433,9,Italian
Q463651,9,Italian
Q3511191,9,Italian
Q3250016,9,Italian
Q3763495,9,Italian
Q3651544,9,Italian
Q325308,9,Italian
Q1226622,9,Italian
Q758132,9,Italian
Q601439,9,Italian
Q3982413,9,Italian
Q968421,9,Italian
Q3935895,9,Italian
Q2248902,9,Italian
Q1287420,9,Italian
Q19832365,9,Italian
Q3854949,9,Italian
Q1033011,9,Italian
Q1172912,9,Italian
Q3848217,9,Italian
Q11154007,9,Italian
Q950328,9,Italian
Q1345621,9,Italian
Q1601879,9,Italian
Q3759821,9,Italian
Q742263,9,Italian
Q73964,9,Italian
Q3754794,9,Italian
Q1363138,9,Italian
Q5977075,10,Italian
Q3721381,10,Italian
Q1627558,10,Italian
Q3858218,10,Italian
Q3938408,10,Italian
Q3362635,10,Italian
Q2246904,10,Italian
Q3725038,10,Italian
Q1345131,10,Italian
Q446794,10,Italian
Q1090928,10,Italian
Q449686,10,Italian
Q520868,10,Italian
Q389148,10,Italian
Q551475,10,Italian
Q3541976,10,Italian
Q682600,10,Italian
Q1134748,10,Italian
Q816819,10,Italian
Q1237108,10,Italian
Q1379609,10,Italian
Q2405522,10,Italian
Q493925,10,Italian
Q3776077,10,Italian
Q1514742,10,Italian
Q3611360,10,Italian
Q451518,11,Italian
Q3779989,11,Italian
Q1159008,11,Italian
Q1379277,11,Italian
Q466808,11,Italian
Q731448,11,Italian
Q3658850,11,Italian
Q524528,11,Italian
Q1873317,11,Italian
Q1523677,11,Italian
Q947504,11,Italian
Q492720,11,Italian
Q3726538,11,Italian
Q380151,11,Italian
Q742043,11,Italian
Q3740348,11,Italian
Q574388,11,Italian
Q3948165,11,Italian
Q1703610,11,Italian
Q441267,11,Italian
Q696857,12,Italian
Q1439364,12,Italian
Q1080042,12,Italian
Q3541979,12,Italian
Q1054391,12,Italian
Q1232980,12,Italian
Q648856,12,Italian
Q2143586,12,Italian
Q982945,12,Italian
Q365012,12,Italian
Q780885,12,Italian
Q678252,12,Italian
Q650518,12,Italian
Q1388396,12,Italian
Q1819087,12,Italian
Q1180362,12,Italian
Q1807972,12,Italian
Q345781,12,Italian
Q1366988,12,Italian
Q994181,13,Italian
Q3299250,13,Italian
Q2249674,13,Italian
