properties,num_properties,coverage,score
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",6,7503,45018
"has_gender, has_mother, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",6,7503,45018
"has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",6,7503,45018
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",6,7498,44988
"has_father, has_mother, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",6,7498,44988
"has_gender, has_father, has_mother, has_spouse, has_date_of_birth, has_academic_degree",6,7498,44988
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_academic_degree",5,8939,44695
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation",5,8870,44350
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",5,8764,43820
"has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",4,10839,43356
"has_gender, has_occupation, has_date_of_birth, has_academic_degree",4,10838,43352
"has_gender, has_country_of_citizenship, has_date_of_birth, has_academic_degree",4,10838,43352
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_occupation",5,8628,43140
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship",5,8604,43020
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation",5,8604,43020
"has_gender, has_father, has_mother, has_spouse, has_occupation",5,8604,43020
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",5,8487,42435
"has_gender, has_mother, has_country_of_citizenship, has_occupation, has_academic_degree",5,8465,42325
"has_gender, has_father, has_mother, has_occupation, has_academic_degree",5,8450,42250
"has_father, has_mother, has_country_of_citizenship, has_occupation, has_academic_degree",5,8450,42250
"has_gender, has_father, has_mother, has_country_of_citizenship, has_academic_degree",5,8450,42250
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_academic_degree",5,8430,42150
"has_father, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",5,8430,42150
"has_gender, has_father, has_spouse, has_occupation, has_academic_degree",5,8430,42150
"has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",5,8397,41985
"has_gender, has_mother, has_spouse, has_occupation, has_academic_degree",5,8397,41985
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_academic_degree",5,8397,41985
"has_father, has_mother, has_spouse, has_occupation, has_academic_degree",5,8389,41945
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_academic_degree",5,8389,41945
"has_gender, has_father, has_mother, has_spouse, has_academic_degree",5,8389,41945
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,10282,41128
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,10263,41052
"has_gender, has_father, has_spouse, has_occupation, has_date_of_birth",5,8027,40135
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_date_of_birth",5,8027,40135
"has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",5,8027,40135
"has_gender, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth",5,7984,39920
"has_father, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,7975,39875
"has_gender, has_father, has_occupation, has_date_of_birth, has_academic_degree",5,7975,39875
"has_gender, has_father, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7975,39875
"has_gender, has_father, has_occupation, has_date_of_birth",4,9922,39688
"has_father, has_country_of_citizenship, has_occupation, has_date_of_birth",4,9918,39672
"has_gender, has_father, has_country_of_citizenship, has_date_of_birth",4,9916,39664
"has_gender, has_father, has_mother, has_country_of_citizenship, has_date_of_birth",5,7926,39630
"has_gender, has_father, has_mother, has_occupation, has_date_of_birth",5,7926,39630
"has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth",5,7926,39630
"has_gender, has_spouse, has_country_of_citizenship, has_occupation",4,9794,39176
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,9734,38936
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,9727,38908
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth",5,7702,38510
"has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",5,7702,38510
"has_gender, has_mother, has_spouse, has_occupation, has_date_of_birth",5,7702,38510
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth",5,7681,38405
"has_gender, has_father, has_mother, has_spouse, has_date_of_birth",5,7681,38405
"has_father, has_mother, has_spouse, has_occupation, has_date_of_birth",5,7681,38405
"has_gender, has_occupation, has_date_of_death, has_date_of_birth",4,9518,38072
"has_gender, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",5,7587,37935
"has_gender, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7587,37935
"has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,7587,37935
"has_gender, has_mother, has_occupation, has_date_of_birth, has_academic_degree",5,7569,37845
"has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth, has_academic_degree",5,7569,37845
"has_gender, has_mother, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7569,37845
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,9460,37840
"has_father, has_mother, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7558,37790
"has_gender, has_father, has_mother, has_date_of_birth, has_academic_degree",5,7558,37790
"has_father, has_mother, has_occupation, has_date_of_birth, has_academic_degree",5,7558,37790
"has_father, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",5,7537,37685
"has_father, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7537,37685
"has_gender, has_father, has_spouse, has_date_of_birth, has_academic_degree",5,7537,37685
"has_gender, has_mother, has_spouse, has_date_of_birth, has_academic_degree",5,7503,37515
"has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",5,7503,37515
"has_mother, has_spouse, has_occupation, has_date_of_birth, has_academic_degree",5,7503,37515
"has_father, has_mother, has_spouse, has_date_of_birth, has_academic_degree",5,7498,37490
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,7495,37475
"has_father, has_spouse, has_country_of_citizenship, has_occupation",4,9016,36064
"has_gender, has_father, has_spouse, has_country_of_citizenship",4,9016,36064
"has_gender, has_father, has_spouse, has_occupation",4,9016,36064
"has_gender, has_father, has_country_of_citizenship, has_academic_degree",4,8939,35756
"has_gender, has_father, has_occupation, has_academic_degree",4,8939,35756
"has_father, has_country_of_citizenship, has_occupation, has_academic_degree",4,8939,35756
"has_gender, has_mother, has_country_of_citizenship, has_occupation",4,8936,35744
"has_gender, has_father, has_mother, has_country_of_citizenship",4,8870,35480
"has_gender, has_father, has_mother, has_occupation",4,8870,35480
"has_father, has_mother, has_country_of_citizenship, has_occupation",4,8870,35480
"has_gender, has_spouse, has_occupation, has_date_of_birth",4,8769,35076
"has_spouse, has_country_of_citizenship, has_occupation, has_date_of_birth",4,8765,35060
"has_gender, has_spouse, has_country_of_citizenship, has_date_of_birth",4,8764,35056
"has_gender, has_mother, has_spouse, has_country_of_citizenship",4,8628,34512
"has_mother, has_spouse, has_country_of_citizenship, has_occupation",4,8628,34512
"has_gender, has_mother, has_spouse, has_occupation",4,8628,34512
"has_father, has_mother, has_spouse, has_occupation",4,8604,34416
"has_father, has_mother, has_spouse, has_country_of_citizenship",4,8604,34416
"has_gender, has_father, has_mother, has_spouse",4,8604,34416
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,6876,34380
"has_gender, has_spouse, has_occupation, has_academic_degree",4,8487,33948
"has_gender, has_spouse, has_country_of_citizenship, has_academic_degree",4,8487,33948
"has_spouse, has_country_of_citizenship, has_occupation, has_academic_degree",4,8487,33948
"has_mother, has_country_of_citizenship, has_occupation, has_academic_degree",4,8465,33860
"has_gender, has_mother, has_occupation, has_academic_degree",4,8465,33860
"has_gender, has_mother, has_country_of_citizenship, has_academic_degree",4,8465,33860
"has_father, has_mother, has_occupation, has_academic_degree",4,8450,33800
"has_father, has_mother, has_country_of_citizenship, has_academic_degree",4,8450,33800
"has_gender, has_father, has_mother, has_academic_degree",4,8450,33800
"has_gender, has_father, has_spouse, has_academic_degree",4,8430,33720
"has_father, has_spouse, has_occupation, has_academic_degree",4,8430,33720
"has_father, has_spouse, has_country_of_citizenship, has_academic_degree",4,8430,33720
"has_mother, has_spouse, has_occupation, has_academic_degree",4,8397,33588
"has_mother, has_spouse, has_country_of_citizenship, has_academic_degree",4,8397,33588
"has_gender, has_mother, has_spouse, has_academic_degree",4,8397,33588
"has_father, has_mother, has_spouse, has_academic_degree",4,8389,33556
"has_father, has_spouse, has_occupation, has_date_of_birth",4,8027,32108
"has_gender, has_father, has_spouse, has_date_of_birth",4,8027,32108
"has_father, has_spouse, has_country_of_citizenship, has_date_of_birth",4,8027,32108
"has_gender, has_mother, has_country_of_citizenship, has_date_of_birth",4,7984,31936
"has_mother, has_country_of_citizenship, has_occupation, has_date_of_birth",4,7984,31936
"has_gender, has_mother, has_occupation, has_date_of_birth",4,7984,31936
"has_father, has_occupation, has_date_of_birth, has_academic_degree",4,7975,31900
"has_father, has_country_of_citizenship, has_date_of_birth, has_academic_degree",4,7975,31900
"has_gender, has_father, has_date_of_birth, has_academic_degree",4,7975,31900
"has_father, has_mother, has_occupation, has_date_of_birth",4,7926,31704
"has_father, has_mother, has_country_of_citizenship, has_date_of_birth",4,7926,31704
"has_gender, has_father, has_mother, has_date_of_birth",4,7926,31704
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation",4,7732,30928
"has_gender, has_mother, has_spouse, has_date_of_birth",4,7702,30808
"has_mother, has_spouse, has_occupation, has_date_of_birth",4,7702,30808
"has_mother, has_spouse, has_country_of_citizenship, has_date_of_birth",4,7702,30808
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_birth",4,7695,30780
"has_father, has_mother, has_spouse, has_date_of_birth",4,7681,30724
"has_spouse, has_occupation, has_date_of_birth, has_academic_degree",4,7587,30348
"has_spouse, has_country_of_citizenship, has_date_of_birth, has_academic_degree",4,7587,30348
"has_gender, has_spouse, has_date_of_birth, has_academic_degree",4,7587,30348
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",4,7581,30324
"has_place_of_birth, has_gender, has_occupation, has_date_of_birth",4,7570,30280
"has_gender, has_mother, has_date_of_birth, has_academic_degree",4,7569,30276
"has_mother, has_country_of_citizenship, has_date_of_birth, has_academic_degree",4,7569,30276
"has_mother, has_occupation, has_date_of_birth, has_academic_degree",4,7569,30276
"has_father, has_mother, has_date_of_birth, has_academic_degree",4,7558,30232
"has_father, has_spouse, has_date_of_birth, has_academic_degree",4,7537,30148
"has_mother, has_spouse, has_date_of_birth, has_academic_degree",4,7503,30012
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_birth",4,7495,29980
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,6975,27900
"has_gender, has_educated_at, has_occupation, has_date_of_birth",4,6904,27616
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,6876,27504
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,4347,26082
"has_gender, has_country_of_citizenship, has_occupation, has_academic_degree, has_ethnic_group",5,4991,24955
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,3915,23490
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,4447,22235
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,3673,22038
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,4397,21985
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,4369,21845
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,4367,21835
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,4347,21735
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_academic_degree",5,4300,21500
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,4274,21370
"has_gender, has_country_of_citizenship, has_occupation, has_ethnic_group",4,5301,21204
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,4178,20890
"has_gender, has_country_of_citizenship, has_academic_degree, has_ethnic_group",4,4991,19964
"has_country_of_citizenship, has_occupation, has_academic_degree, has_ethnic_group",4,4991,19964
"has_gender, has_occupation, has_academic_degree, has_ethnic_group",4,4991,19964
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,3920,19600
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,3915,19575
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",6,3248,19488
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,3213,19278
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",4,4720,18880
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,3687,18435
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,3071,18426
"has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,3675,18375
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,3673,18365
"has_position_held, has_occupation, has_date_of_death, has_date_of_birth",4,4452,17808
"has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",4,4447,17788
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_academic_degree",5,3537,17685
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation",4,4420,17680
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth",4,4417,17668
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,4397,17588
"has_place_of_birth, has_gender, has_educated_at, has_occupation",4,4389,17556
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at",4,4369,17476
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth",4,4367,17468
"has_gender, has_country_of_citizenship, has_position_held, has_academic_degree",4,4300,17200
"has_gender, has_position_held, has_occupation, has_academic_degree",4,4300,17200
"has_country_of_citizenship, has_position_held, has_occupation, has_academic_degree",4,4300,17200
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",4,4292,17168
"has_position_held, has_educated_at, has_occupation, has_date_of_birth",4,4276,17104
"has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",4,4274,17096
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_date_of_death",5,3377,16885
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,3363,16815
"has_gender, has_position_held, has_occupation, has_date_of_death",4,4183,16732
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",4,4178,16712
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,2738,16428
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,3274,16370
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth, has_academic_degree",5,3248,16240
"has_gender, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",5,3248,16240
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",5,3248,16240
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,3218,16090
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,3213,16065
"has_gender, has_position_held, has_date_of_death, has_date_of_birth",4,3920,15680
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_academic_degree, has_ethnic_group",6,2592,15552
"has_gender, has_father, has_occupation, has_date_of_death, has_date_of_birth",5,3076,15380
"has_father, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,3073,15365
"has_gender, has_father, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,3071,15355
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,2119,14833
"has_gender, has_position_held, has_educated_at, has_occupation",4,3689,14756
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at",4,3687,14748
"has_gender, has_position_held, has_educated_at, has_date_of_birth",4,3675,14700
"has_gender, has_country_of_citizenship, has_child, has_occupation, has_date_of_birth",5,2862,14310
"has_country_of_citizenship, has_occupation, has_date_of_death, has_academic_degree",4,3537,14148
"has_gender, has_occupation, has_date_of_death, has_academic_degree",4,3537,14148
"has_gender, has_country_of_citizenship, has_date_of_death, has_academic_degree",4,3537,14148
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,2790,13950
"has_place_of_birth, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,2775,13875
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,2772,13860
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,3425,13700
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,2738,13690
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_ethnic_group",5,2723,13615
"has_gender, has_father, has_occupation, has_date_of_death",4,3382,13528
"has_gender, has_country_of_citizenship, has_child, has_occupation",4,3381,13524
"has_father, has_country_of_citizenship, has_occupation, has_date_of_death",4,3380,13520
"has_gender, has_father, has_country_of_citizenship, has_date_of_death",4,3377,13508
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,3368,13472
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,3363,13452
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,3279,13116
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,3274,13096
"has_gender, has_date_of_death, has_date_of_birth, has_academic_degree",4,3248,12992
"has_country_of_citizenship, has_date_of_death, has_date_of_birth, has_academic_degree",4,3248,12992
"has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",4,3248,12992
"has_gender, has_country_of_citizenship, has_position_held, has_academic_degree, has_ethnic_group",5,2592,12960
"has_country_of_citizenship, has_position_held, has_occupation, has_academic_degree, has_ethnic_group",5,2592,12960
"has_gender, has_position_held, has_occupation, has_academic_degree, has_ethnic_group",5,2592,12960
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,2159,12954
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,3218,12872
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,2121,12726
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",6,2121,12726
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",6,2119,12714
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,2053,12318
"has_father, has_occupation, has_date_of_death, has_date_of_birth",4,3078,12312
"has_gender, has_father, has_date_of_death, has_date_of_birth",4,3076,12304
"has_father, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,3073,12292
"has_gender, has_father, has_country_of_citizenship, has_child, has_occupation, has_date_of_birth",6,2034,12204
"has_gender, has_father, has_country_of_citizenship, has_child, has_occupation",5,2431,12155
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,1708,11956
"has_gender, has_country_of_citizenship, has_child, has_occupation, has_date_of_death, has_date_of_birth",6,1930,11580
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",9,1285,11565
"has_gender, has_child, has_occupation, has_date_of_birth",4,2866,11464
"has_country_of_citizenship, has_child, has_occupation, has_date_of_birth",4,2862,11448
"has_gender, has_country_of_citizenship, has_child, has_date_of_birth",4,2862,11448
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",8,1429,11432
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,2829,11316
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,2825,11300
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,2809,11236
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth, has_academic_degree",6,1864,11184
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,2790,11160
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,2775,11100
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,2772,11088
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,1583,11081
"has_gender, has_father, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",7,1573,11011
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",7,1563,10941
"has_country_of_citizenship, has_position_held, has_occupation, has_ethnic_group",4,2725,10900
"has_gender, has_country_of_citizenship, has_position_held, has_ethnic_group",4,2723,10892
"has_gender, has_position_held, has_occupation, has_ethnic_group",4,2723,10892
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,2161,10805
"has_place_of_birth, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,2161,10805
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,2159,10795
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death",6,1792,10752
"has_gender, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death",5,2144,10720
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_academic_degree",8,1337,10696
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation",5,2123,10615
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at",5,2121,10605
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_date_of_birth",5,2121,10605
"has_gender, has_country_of_citizenship, has_child, has_occupation, has_date_of_death",5,2108,10540
"has_gender, has_father, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",8,1317,10536
"has_gender, has_father, has_mother, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",8,1315,10520
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death",7,1489,10423
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",6,1732,10392
"has_gender, has_position_held, has_academic_degree, has_ethnic_group",4,2592,10368
"has_position_held, has_occupation, has_academic_degree, has_ethnic_group",4,2592,10368
"has_country_of_citizenship, has_position_held, has_academic_degree, has_ethnic_group",4,2592,10368
"has_gender, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",8,1286,10288
"has_gender, has_father, has_mother, has_spouse, has_country_of_citizenship, has_date_of_death, has_date_of_birth, has_academic_degree",8,1285,10280
"has_gender, has_father, has_mother, has_spouse, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",8,1285,10280
"has_father, has_mother, has_spouse, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth, has_academic_degree",8,1285,10280
"has_gender, has_spouse, has_occupation, has_date_of_death, has_date_of_birth",5,2055,10275
