properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,74660,298640
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,48540,291240
"has_place_of_birth, has_gender, has_educated_at, has_occupation",4,71887,287548
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation",4,71147,284588
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at",4,71145,284580
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth",4,70778,283112
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth",4,70769,283076
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,70099,280396
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,55295,276475
"has_place_of_death, has_gender, has_occupation, has_date_of_death, has_date_of_birth",5,55268,276340
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,54873,274365
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,54720,273600
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,54705,273525
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,54658,273290
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,54657,273285
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,54620,273100
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,54620,273100
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,66147,264588
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,66101,264404
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,66092,264368
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,52797,263985
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,52775,263875
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,52758,263790
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,52753,263765
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,52336,261680
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,52307,261535
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,52306,261530
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,52289,261445
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,52287,261435
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,52266,261330
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,65282,261128
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,65278,261112
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,65229,260916
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,42183,253098
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,50192,250960
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,48727,243635
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,48540,242700
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,48540,242700
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,34037,238259
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,33735,236145
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,38060,228360
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,37704,226224
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,55556,222224
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,55334,221336
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,55320,221280
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,55296,221184
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,55295,221180
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,55273,221092
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,55268,221072
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,54873,219492
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,54873,219492
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,54784,219136
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,54722,218888
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,54720,218880
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,54706,218824
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,54705,218820
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,54658,218632
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,54620,218480
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,31017,217119
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,43097,215485
"has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,42931,214655
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,42375,211875
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,52829,211316
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,52802,211208
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,52797,211188
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,52781,211124
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,52775,211100
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,52758,211032
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,42183,210915
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,42183,210915
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,52338,209352
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,52336,209344
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,52307,209228
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,52289,209156
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",8,25836,206688
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,25818,206544
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",6,34353,206118
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,34191,205146
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",6,34037,204222
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,34037,204222
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,33934,203604
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,33760,202560
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,33735,202410
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,33735,202410
"has_gender, has_position_held, has_occupation, has_date_of_death",4,50426,201704
"has_gender, has_position_held, has_date_of_death, has_date_of_birth",4,50192,200768
"has_position_held, has_occupation, has_date_of_death, has_date_of_birth",4,50192,200768
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation",5,39044,195220
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",4,48727,194908
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",4,48727,194908
"has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",4,48540,194160
"has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,38807,194035
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,27476,192332
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_birth",5,38127,190635
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,38061,190305
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",5,38060,190300
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,37732,188660
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,37705,188525
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,37704,188520
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,31341,188046
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,26659,186613
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,31024,186144
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,31018,186108
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,31017,186102
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,25995,181965
"has_gender, has_country_of_citizenship, has_native_language, has_occupation",4,45457,181828
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,25932,181524
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",7,25844,180908
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",7,25842,180894
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",7,25837,180859
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,25836,180852
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",7,25836,180852
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",7,25822,180754
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",7,25818,180726
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,25818,180726
"has_gender, has_position_held, has_educated_at, has_occupation",4,43858,175432
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation",5,34510,172550
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at",4,43097,172388
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",4,43097,172388
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at",5,34353,171765
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,34353,171765
"has_position_held, has_educated_at, has_occupation, has_date_of_birth",4,42931,171724
"has_gender, has_position_held, has_educated_at, has_date_of_birth",4,42931,171724
"has_place_of_birth, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,34191,170955
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_date_of_birth",5,34191,170955
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,34037,170185
"has_gender, has_native_language, has_occupation, has_date_of_birth",4,42467,169868
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death",5,33960,169800
"has_place_of_birth, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,33934,169670
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,33934,169670
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",4,42384,169536
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",4,42375,169500
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,33760,168800
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,33760,168800
"has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",4,42183,168732
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,33735,168675
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,27625,165750
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,27502,165012
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,27484,164904
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,27476,164856
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,27476,164856
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,23512,164584
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,26881,161286
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,26682,160092
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,26668,160008
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,26659,159954
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,26659,159954
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death",5,31349,156745
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,31345,156725
"has_place_of_birth, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,31341,156705
"has_place_of_birth, has_gender, has_native_language, has_occupation",4,39119,156476
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation",4,39050,156200
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language",4,39044,156176
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",6,26014,156084
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",6,25999,155994
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,25998,155988
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",6,25995,155970
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",6,25940,155640
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",6,25938,155628
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,25932,155592
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",6,25932,155592
"has_gender, has_educated_at, has_occupation, has_date_of_death",4,38845,155380
"has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",4,38812,155248
"has_gender, has_educated_at, has_date_of_death, has_date_of_birth",4,38807,155228
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,31025,155125
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",5,31024,155120
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",6,25853,155118
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,31018,155090
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",6,25844,155064
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,25844,155064
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",6,25842,155052
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,25842,155052
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",6,25841,155046
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,25837,155022
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",6,25837,155022
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,25836,155016
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",6,25822,154932
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,25822,154932
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,25818,154908
"has_place_of_birth, has_native_language, has_occupation, has_date_of_birth",4,38130,152520
"has_place_of_birth, has_gender, has_native_language, has_date_of_birth",4,38127,152508
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_birth",4,38061,152244
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",4,37733,150932
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",4,37732,150928
"has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",4,37705,150820
"has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,24189,145134
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,18099,144792
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",6,23527,141162
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",6,23512,141072
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,23512,141072
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",5,27652,138260
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",5,27633,138165
"has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,27625,138125
"has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,27625,138125
"has_place_of_birth, has_position_held, has_educated_at, has_occupation",4,34510,138040
"has_place_of_birth, has_gender, has_position_held, has_educated_at",4,34510,138040
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,27517,137585
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,27502,137510
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,27502,137510
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,27484,137420
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,27484,137420
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at",4,34353,137412
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,27476,137380
"has_place_of_birth, has_position_held, has_educated_at, has_date_of_birth",4,34191,136764
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death",4,33960,135840
"has_place_of_birth, has_gender, has_position_held, has_date_of_death",4,33960,135840
"has_place_of_birth, has_position_held, has_date_of_death, has_date_of_birth",4,33934,135736
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death",4,33760,135040
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,22431,134586
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,26904,134520
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",5,26890,134450
"has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,26884,134420
"has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,26881,134405
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,26691,133455
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,26682,133410
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,26682,133410
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,26668,133340
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",5,26668,133340
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,26659,133295
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",9,14644,131796
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation",5,26018,130090
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_birth",5,26017,130085
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_birth",5,26014,130070
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death",5,26002,130010
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death",5,25999,129995
"has_place_of_birth, has_place_of_death, has_educated_at, has_date_of_death, has_date_of_birth",5,25998,129990
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation",5,25949,129745
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death",5,25940,129700
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death",5,25940,129700
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_birth",5,25938,129690
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_birth",5,25938,129690
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",5,25932,129660
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",5,25853,129265
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",5,25853,129265
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",5,25844,129220
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",5,25842,129210
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation",5,25841,129205
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at",5,25841,129205
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,25837,129185
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death",5,25822,129110
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,25629,128145
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,18209,127463
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death",7,18102,126714
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,18099,126693
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_death, has_date_of_birth",7,18099,126693
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_death",4,31353,125412
"has_place_of_birth, has_gender, has_educated_at, has_date_of_death",4,31349,125396
"has_place_of_birth, has_educated_at, has_date_of_death, has_date_of_birth",4,31345,125380
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_native_language, has_occupation, has_date_of_birth",7,17833,124831
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_death",4,31025,124100
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,15294,122352
