properties,num_properties,coverage,score
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,17211,68844
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,17126,68504
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,17119,68476
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,17067,68268
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,17067,68268
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,16995,67980
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,16985,67940
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,9675,67725
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,16684,66736
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,16684,66736
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,16666,66664
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,16530,66120
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,16520,66080
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,16520,66080
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,16403,65612
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,16403,65612
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,16394,65576
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",8,8176,65408
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10797,64782
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10681,64086
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",6,10681,64086
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",6,10677,64062
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10677,64062
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,12709,63545
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation",5,12557,62785
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_birth",5,12549,62745
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,12522,62610
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",5,12522,62610
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,15637,62548
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,15630,62520
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,15591,62364
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,15591,62364
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,15586,62344
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,15543,62172
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,15543,62172
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,15516,62064
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,15516,62064
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,15498,61992
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,14902,59608
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,14840,59360
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,14840,59360
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,14831,59324
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,14831,59324
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,14798,59192
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,14797,59188
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,14797,59188
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,14758,59032
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,9835,59010
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,14731,58924
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,9796,58776
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,9678,58068
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,8294,58058
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,9675,58050
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,9675,58050
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,8213,57491
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",7,8186,57302
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",7,8178,57246
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",7,8176,57232
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,8176,57232
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",5,10905,54525
"has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10807,54035
"has_gender, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10802,54010
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",5,10797,53985
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation",5,10685,53425
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",5,10681,53405
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_date_of_birth",5,10681,53405
"has_place_of_birth, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10681,53405
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language",5,10681,53405
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",5,10677,53385
"has_gender, has_country_of_citizenship, has_native_language, has_occupation",4,12894,51576
"has_gender, has_native_language, has_occupation, has_date_of_birth",4,12741,50964
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",4,12719,50876
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",4,12709,50836
"has_place_of_birth, has_gender, has_native_language, has_occupation",4,12585,50340
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation",4,12557,50228
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language",4,12557,50228
"has_place_of_birth, has_native_language, has_occupation, has_date_of_birth",4,12549,50196
"has_place_of_birth, has_gender, has_native_language, has_date_of_birth",4,12549,50196
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_birth",4,12522,50088
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,8331,49986
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",6,8305,49830
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,9962,49810
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",6,8296,49776
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,8294,49764
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",6,8294,49764
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,8225,49350
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,8223,49338
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,9861,49305
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,8213,49278
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,8213,49278
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,9835,49175
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,9835,49175
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",6,8188,49128
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,8186,49116
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",6,8186,49116
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",6,8178,49068
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,8178,49068
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,8176,49056
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death",5,9799,48995
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,9796,48980
"has_place_of_birth, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,9796,48980
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,9678,48390
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,9678,48390
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,9675,48375
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,6373,44611
"has_country_of_citizenship, has_position_held, has_native_language, has_occupation",4,10915,43660
"has_gender, has_position_held, has_native_language, has_occupation",4,10910,43640
"has_gender, has_country_of_citizenship, has_position_held, has_native_language",4,10905,43620
"has_position_held, has_native_language, has_occupation, has_date_of_birth",4,10812,43248
"has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",4,10807,43228
"has_gender, has_position_held, has_native_language, has_date_of_birth",4,10802,43208
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,5369,42952
"has_place_of_birth, has_position_held, has_native_language, has_occupation",4,10685,42740
"has_place_of_birth, has_gender, has_position_held, has_native_language",4,10685,42740
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language",4,10681,42724
"has_place_of_birth, has_position_held, has_native_language, has_date_of_birth",4,10681,42724
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",5,8343,41715
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",5,8342,41710
"has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,8331,41655
"has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,8331,41655
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation",5,8307,41535
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_birth",5,8305,41525
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_birth",5,8305,41525
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death",5,8296,41480
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death",5,8296,41480
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",5,8294,41470
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,5166,41328
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,8235,41175
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,8225,41125
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,8225,41125
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,8223,41115
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,8223,41115
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,8213,41065
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",5,8188,40940
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",5,8188,40940
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",5,8186,40930
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",5,8178,40890
"has_gender, has_position_held, has_occupation, has_date_of_death",4,9988,39952
"has_gender, has_position_held, has_date_of_death, has_date_of_birth",4,9962,39848
"has_position_held, has_occupation, has_date_of_death, has_date_of_birth",4,9962,39848
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",4,9861,39444
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",4,9861,39444
"has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",4,9835,39340
"has_place_of_birth, has_gender, has_position_held, has_date_of_death",4,9799,39196
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death",4,9799,39196
"has_place_of_birth, has_position_held, has_date_of_death, has_date_of_birth",4,9796,39184
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,6481,38886
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death",4,9678,38712
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,6388,38328
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,6375,38250
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,6373,38238
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,6373,38238
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5448,38136
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",9,4234,38106
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5371,37597
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5369,37583
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",7,5369,37583
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",7,5369,37583
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5187,36309
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5179,36253
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",7,5178,36246
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",7,5168,36176
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,5166,36162
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",7,5166,36162
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,5991,35946
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,4250,34000
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",8,4243,33944
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,4236,33888
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",8,4234,33872
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,4234,33872
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",8,4234,33872
"has_place_of_death, has_gender, has_position_held, has_occupation",4,8354,33416
"has_place_of_death, has_position_held, has_occupation, has_date_of_death",4,8343,33372
"has_place_of_death, has_gender, has_position_held, has_date_of_death",4,8343,33372
"has_place_of_death, has_gender, has_position_held, has_date_of_birth",4,8342,33368
"has_place_of_death, has_position_held, has_occupation, has_date_of_birth",4,8342,33368
"has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",4,8331,33324
"has_place_of_birth, has_place_of_death, has_gender, has_position_held",4,8307,33228
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation",4,8307,33228
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_birth",4,8305,33220
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death",4,8296,33184
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",4,8235,32940
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",4,8235,32940
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",4,8225,32900
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",4,8223,32892
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held",4,8188,32752
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",6,5458,32748
"has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5450,32700
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",6,5448,32688
"has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5448,32688
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",5,6498,32490
"has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,6497,32485
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,6481,32405
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",5,6481,32405
"has_place_of_birth, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5371,32226
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",6,5371,32226
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death",6,5371,32226
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",6,5369,32214
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",6,5369,32214
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death",6,5369,32214
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_death",5,6390,31950
"has_place_of_birth, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,6388,31940
"has_place_of_birth, has_gender, has_native_language, has_date_of_death, has_date_of_birth",5,6388,31940
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death",5,6375,31875
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",5,6375,31875
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",5,6373,31865
"has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5200,31200
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,5199,31194
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,5195,31170
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_birth",6,5194,31164
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation",6,5191,31146
"has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5187,31122
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,5187,31122
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death",6,5181,31086
"has_place_of_birth, has_place_of_death, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,5179,31074
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_date_of_death, has_date_of_birth",6,5179,31074
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",6,5178,31068
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,5178,31068
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death",6,5168,31008
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,5168,31008
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,5166,30996
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,6090,30450
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,6065,30325
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,6010,30050
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,5991,29955
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,5991,29955
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,4259,29813
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",7,4254,29778
"has_place_of_death, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,4252,29764
"has_place_of_death, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,4250,29750
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",7,4250,29750
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,4246,29722
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",7,4243,29701
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,4243,29701
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",7,4243,29701
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",7,4236,29652
"has_place_of_birth, has_place_of_death, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,4236,29652
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death",7,4236,29652
