properties,num_properties,coverage,score
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_death",5,5481,27405
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_date_of_birth",5,5479,27395
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",5,5478,27390
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",5,5478,27390
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at",4,6802,27208
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation",4,6802,27208
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,6798,27192
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",5,5393,26965
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_date_of_birth",5,5388,26940
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",5,5388,26940
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,5388,26940
"has_gender, has_country_of_citizenship, has_occupation, has_date_of_death",4,6701,26804
"has_country_of_citizenship, has_occupation, has_date_of_death, has_date_of_birth",4,6687,26748
"has_gender, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,6687,26748
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,5270,26350
"has_place_of_birth, has_gender, has_occupation, has_date_of_death",4,6484,25936
"has_place_of_birth, has_gender, has_date_of_death, has_date_of_birth",4,6481,25924
"has_place_of_birth, has_occupation, has_date_of_death, has_date_of_birth",4,6481,25924
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_birth",5,5142,25710
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,5137,25685
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,5137,25685
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,5137,25685
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,5136,25680
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,5136,25680
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,5136,25680
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,5011,25055
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,5011,25055
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,5011,25055
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,4091,24546
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,6060,24240
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,6060,24240
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,6059,24236
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,5802,23208
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,5794,23176
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,5793,23172
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,5793,23172
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,5482,21928
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,5481,21924
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,5481,21924
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,5479,21916
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,5479,21916
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,5478,21912
"has_gender, has_occupation, has_award_received, has_date_of_birth",4,5433,21732
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,5393,21572
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,5393,21572
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,5393,21572
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,3080,21560
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,5388,21552
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,5388,21552
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,5388,21552
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,4290,21450
"has_gender, has_country_of_citizenship, has_occupation, has_award_received",4,5277,21108
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",4,5270,21080
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",4,5270,21080
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,2998,20986
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,4145,20725
"has_place_of_birth, has_occupation, has_award_received, has_date_of_birth",4,5142,20568
"has_place_of_birth, has_gender, has_award_received, has_date_of_birth",4,5142,20568
"has_place_of_birth, has_gender, has_occupation, has_award_received",4,5142,20568
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,5137,20548
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,5137,20548
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,5137,20548
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,5136,20544
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,4091,20455
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,4091,20455
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,4091,20455
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,2528,20224
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_birth",4,5011,20044
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received",4,5011,20044
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received",4,5011,20044
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,2826,19782
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,3192,19152
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,3164,18984
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,3128,18768
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,3097,18582
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,2653,18571
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",6,3080,18480
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",6,3080,18480
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",6,3080,18480
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,2614,18298
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,2596,18172
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,2268,18144
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,2998,17988
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,2998,17988
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,2998,17988
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",7,2528,17696
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",7,2528,17696
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",7,2528,17696
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,2528,17696
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,4357,17428
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,2897,17382
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,4298,17192
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,4290,17160
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,4290,17160
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,2850,17100
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",6,2826,16956
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,2826,16956
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",6,2826,16956
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2781,16686
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,4145,16580
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,4145,16580
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,4145,16580
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2753,16518
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,2359,16513
"has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,3280,16400
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,2338,16366
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,4091,16364
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,4091,16364
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,4091,16364
"has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,3251,16255
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,2689,16134
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",5,3194,15970
"has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",5,3192,15960
"has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,3192,15960
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2653,15918
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,2653,15918
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,2653,15918
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",7,2268,15876
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,2268,15876
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",7,2268,15876
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",7,2268,15876
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,3165,15825
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,3164,15820
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,3164,15820
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,2614,15684
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",6,2614,15684
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",6,2614,15684
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",6,2614,15684
"has_place_of_birth, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,3128,15640
"has_place_of_birth, has_gender, has_educated_at, has_award_received, has_date_of_birth",5,3128,15640
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_award_received",5,3128,15640
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,2596,15576
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,2596,15576
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,2596,15576
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,2596,15576
"has_place_of_birth, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,3097,15485
"has_place_of_birth, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,3097,15485
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death",5,3097,15485
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",5,3080,15400
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",5,3080,15400
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_award_received",5,3080,15400
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",6,2528,15168
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,2528,15168
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,2528,15168
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,2528,15168
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",6,2528,15168
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",6,2528,15168
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,2155,15085
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,2998,14990
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,2998,14990
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,2998,14990
"has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,2924,14620
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2434,14604
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,2901,14505
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,2897,14485
"has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,2897,14485
"has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,2893,14465
"has_place_of_birth, has_position_held, has_educated_at, has_occupation, has_date_of_birth",5,2850,14250
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation",5,2850,14250
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_date_of_birth",5,2850,14250
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",6,2359,14154
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",6,2359,14154
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",6,2359,14154
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2359,14154
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at",5,2826,14130
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",5,2826,14130
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_educated_at, has_date_of_birth",5,2826,14130
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,2338,14028
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,2338,14028
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,2338,14028
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,2338,14028
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,2782,13910
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,2781,13905
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,2781,13905
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death",5,2753,13765
"has_place_of_birth, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,2753,13765
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,2753,13765
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",6,2268,13608
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,2268,13608
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",6,2268,13608
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",6,2268,13608
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,2268,13608
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,2268,13608
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",5,2689,13445
"has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,2689,13445
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",5,2689,13445
"has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,2689,13445
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,2211,13266
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,2653,13265
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",5,2653,13265
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,2653,13265
"has_gender, has_occupation, has_award_received, has_date_of_death",4,3281,13124
"has_occupation, has_award_received, has_date_of_death, has_date_of_birth",4,3280,13120
"has_gender, has_award_received, has_date_of_death, has_date_of_birth",4,3280,13120
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_birth",5,2614,13070
"has_place_of_birth, has_place_of_death, has_award_received, has_date_of_death, has_date_of_birth",5,2614,13070
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_birth",5,2614,13070
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death",5,2614,13070
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death",5,2614,13070
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received",5,2614,13070
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,2172,13032
"has_gender, has_educated_at, has_occupation, has_award_received",4,3253,13012
"has_gender, has_educated_at, has_award_received, has_date_of_birth",4,3251,13004
"has_educated_at, has_occupation, has_award_received, has_date_of_birth",4,3251,13004
"has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,2596,12980
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,2596,12980
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,2596,12980
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,2596,12980
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,2596,12980
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,2596,12980
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received",6,2155,12930
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_birth",6,2155,12930
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,2155,12930
"has_gender, has_country_of_citizenship, has_educated_at, has_award_received",4,3194,12776
"has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",4,3194,12776
"has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",4,3192,12768
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",4,3165,12660
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",4,3165,12660
"has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",4,3164,12656
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received",5,2528,12640
"has_gender, has_field_of_work, has_occupation, has_date_of_birth",4,3160,12640
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_birth",5,2528,12640
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received",5,2528,12640
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death",5,2528,12640
"has_place_of_birth, has_gender, has_country_of_citizenship, has_field_of_work, has_occupation, has_date_of_birth",6,2095,12570
"has_place_of_birth, has_gender, has_field_of_work, has_occupation, has_date_of_birth",5,2504,12520
"has_place_of_birth, has_gender, has_educated_at, has_award_received",4,3128,12512
"has_place_of_birth, has_educated_at, has_award_received, has_date_of_birth",4,3128,12512
"has_place_of_birth, has_educated_at, has_occupation, has_award_received",4,3128,12512
"has_place_of_birth, has_award_received, has_date_of_death, has_date_of_birth",4,3097,12388
"has_place_of_birth, has_occupation, has_award_received, has_date_of_death",4,3097,12388
"has_place_of_birth, has_gender, has_award_received, has_date_of_death",4,3097,12388
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_award_received",4,3080,12320
"has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,2434,12170
"has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,2434,12170
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",5,2434,12170
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,2434,12170
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,1517,12136
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_award_received, has_date_of_birth",8,1507,12056
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,1719,12033
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_death",4,2998,11992
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation",5,2359,11795
"has_place_of_birth, has_place_of_death, has_educated_at, has_date_of_death, has_date_of_birth",5,2359,11795
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_birth",5,2359,11795
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_birth",5,2359,11795
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death",5,2359,11795
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death",5,2359,11795
"has_gender, has_position_held, has_educated_at, has_occupation",4,2928,11712
"has_gender, has_position_held, has_educated_at, has_date_of_birth",4,2924,11696
"has_position_held, has_educated_at, has_occupation, has_date_of_birth",4,2924,11696
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,2338,11690
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,2338,11690
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,2338,11690
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,2338,11690
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,2338,11690
