properties,num_properties,coverage,score
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",4,9542,38168
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,6352,38112
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,6338,38028
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,5415,37905
"has_place_of_birth, has_gender, has_occupation, has_award_received",4,9374,37496
"has_place_of_birth, has_gender, has_award_received, has_date_of_birth",4,9372,37488
"has_place_of_birth, has_occupation, has_award_received, has_date_of_birth",4,9372,37488
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,9365,37460
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,9365,37460
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,9361,37444
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,9360,37440
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received",4,9173,36692
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received",4,9173,36692
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_birth",4,9171,36684
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,6091,36546
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,6090,36540
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,6090,36540
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,5145,36015
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,5121,35847
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,5951,35706
"has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,7028,35140
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",7,5002,35014
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",7,5001,35007
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",7,5001,35007
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,5001,35007
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",6,5800,34800
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",6,5800,34800
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",6,5799,34794
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,5799,34794
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",5,6886,34430
"has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,6883,34415
"has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",5,6883,34415
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,5728,34368
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,5726,34356
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,5725,34350
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",6,5725,34350
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_award_received",5,6825,34125
"has_place_of_birth, has_educated_at, has_occupation, has_award_received, has_date_of_birth",5,6824,34120
"has_place_of_birth, has_gender, has_educated_at, has_award_received, has_date_of_birth",5,6824,34120
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5637,33822
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,5604,33624
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",6,5592,33552
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",6,5591,33546
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,5591,33546
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",6,5591,33546
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",6,5591,33546
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",6,5590,33540
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_award_received",5,6700,33500
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",5,6700,33500
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",5,6699,33495
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5559,33354
"has_gender, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,6638,33190
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5415,32490
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,5415,32490
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,5415,32490
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,6358,31790
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,6352,31760
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,6352,31760
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_death",5,6339,31695
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5282,31692
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,6338,31690
"has_place_of_birth, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,6338,31690
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,5146,30876
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5145,30870
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,5145,30870
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,5145,30870
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",6,5122,30732
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",6,5121,30726
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",6,5121,30726
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,5121,30726
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,6091,30455
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",5,6091,30455
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,6090,30450
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,3343,30087
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,5002,30012
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",6,5002,30012
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",6,5002,30012
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,5001,30006
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",6,5001,30006
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,5001,30006
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_death",5,5954,29770
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,5952,29760
"has_place_of_death, has_gender, has_educated_at, has_date_of_death, has_date_of_birth",5,5951,29755
"has_place_of_death, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",5,5951,29755
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,5890,29450
"has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,5810,29050
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation",5,5801,29005
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_death",5,5800,29000
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_death",5,5800,29000
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_date_of_birth",5,5800,29000
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_date_of_birth",5,5800,29000
"has_place_of_birth, has_place_of_death, has_educated_at, has_date_of_death, has_date_of_birth",5,5799,28995
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,3581,28648
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,5729,28645
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",5,5728,28640
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",5,5728,28640
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,5726,28630
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,5726,28630
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",5,5725,28625
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,5702,28510
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,5638,28190
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,5637,28185
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,5637,28185
"has_gender, has_educated_at, has_occupation, has_award_received",4,7031,28124
"has_gender, has_educated_at, has_award_received, has_date_of_birth",4,7028,28112
"has_educated_at, has_occupation, has_award_received, has_date_of_birth",4,7028,28112
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,5608,28040
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,5604,28020
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,5604,28020
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation",5,5592,27960
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at",5,5592,27960
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,5591,27955
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_date_of_death",5,5591,27955
"has_place_of_birth, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,5559,27795
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death",5,5559,27795
"has_place_of_birth, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,5559,27795
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",7,3967,27769
"has_country_of_citizenship, has_educated_at, has_occupation, has_award_received",4,6886,27544
"has_gender, has_country_of_citizenship, has_educated_at, has_award_received",4,6886,27544
"has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_birth",4,6883,27532
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,3418,27344
"has_place_of_birth, has_gender, has_educated_at, has_award_received",4,6825,27300
"has_place_of_birth, has_educated_at, has_occupation, has_award_received",4,6825,27300
"has_place_of_birth, has_educated_at, has_award_received, has_date_of_birth",4,6824,27296
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,3408,27264
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,5415,27075
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,5415,27075
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,5415,27075
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_award_received",4,6700,26800
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",8,3343,26744
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death",8,3343,26744
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",8,3343,26744
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,3343,26744
"has_gender, has_educated_at, has_occupation, has_date_of_death",4,6644,26576
"has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",4,6638,26552
"has_gender, has_educated_at, has_date_of_death, has_date_of_birth",4,6638,26552
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",5,5283,26415
"has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,5282,26410
"has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,5282,26410
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",5,5282,26410
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,5146,25730
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,5146,25730
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,5146,25730
"has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,5145,25725
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3675,25725
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,5145,25725
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,5145,25725
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3669,25683
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received",5,5122,25610
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_birth",5,5122,25610
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_birth",5,5122,25610
"has_place_of_birth, has_place_of_death, has_award_received, has_date_of_death, has_date_of_birth",5,5121,25605
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death",5,5121,25605
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death",5,5121,25605
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death",4,6358,25432
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_death",4,6358,25432
"has_country_of_citizenship, has_educated_at, has_date_of_death, has_date_of_birth",4,6352,25408
"has_place_of_birth, has_gender, has_educated_at, has_date_of_death",4,6339,25356
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_death",4,6339,25356
"has_place_of_birth, has_educated_at, has_date_of_death, has_date_of_birth",4,6338,25352
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death",7,3581,25067
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3581,25067
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",7,3581,25067
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_birth",5,5002,25010
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received",5,5002,25010
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received",5,5002,25010
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death",5,5001,25005
"has_place_of_death, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3492,24444
"has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,4063,24378
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_death",4,6091,24364
"has_place_of_birth, has_gender, has_position_held, has_educated_at, has_occupation, has_date_of_birth",6,4037,24222
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,6007,24028
"has_place_of_birth, has_place_of_death, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3418,23926
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_death",7,3418,23926
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,3418,23926
"has_place_of_birth, has_place_of_death, has_gender, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",7,3418,23926
"has_place_of_death, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,3408,23856
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_death",7,3408,23856
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_award_received, has_date_of_birth",7,3408,23856
"has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_award_received, has_date_of_death, has_date_of_birth",7,3408,23856
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_educated_at, has_occupation",6,3970,23820
