properties,num_properties,coverage,score
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_date_of_death",4,49301,197204
"has_place_of_birth, has_gender, has_country_of_citizenship, has_date_of_death",4,49301,197204
"has_place_of_birth, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,49295,197180
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",5,39308,196540
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",5,39306,196530
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",5,39306,196530
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",5,39287,196435
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",5,39287,196435
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",5,39285,196425
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,39055,195275
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_birth",5,37525,187625
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,37260,186300
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,37256,186280
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,37256,186280
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,24115,168805
"has_place_of_death, has_gender, has_occupation, has_date_of_birth",4,41869,167476
"has_place_of_death, has_gender, has_occupation, has_date_of_death",4,41844,167376
"has_place_of_death, has_occupation, has_date_of_death, has_date_of_birth",4,41830,167320
"has_place_of_death, has_gender, has_date_of_death, has_date_of_birth",4,41829,167316
"has_place_of_birth, has_place_of_death, has_gender, has_occupation",4,40957,163828
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_birth",4,40949,163796
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_birth",4,40949,163796
"has_place_of_birth, has_place_of_death, has_occupation, has_date_of_death",4,40922,163688
"has_place_of_birth, has_place_of_death, has_gender, has_date_of_death",4,40922,163688
"has_place_of_birth, has_place_of_death, has_date_of_death, has_date_of_birth",4,40917,163668
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation",4,40098,160392
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_birth",4,40092,160368
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_birth",4,40092,160368
"has_place_of_death, has_country_of_citizenship, has_occupation, has_date_of_death",4,40070,160280
"has_place_of_death, has_gender, has_country_of_citizenship, has_date_of_death",4,40070,160280
"has_place_of_death, has_country_of_citizenship, has_date_of_death, has_date_of_birth",4,40064,160256
"has_gender, has_position_held, has_occupation, has_date_of_birth",4,39365,157460
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation",4,39308,157232
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship",4,39308,157232
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_birth",4,39306,157224
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_date_of_death",4,39287,157148
"has_gender, has_country_of_citizenship, has_position_held, has_occupation",4,39178,156712
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",4,39055,156220
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",4,39055,156220
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,25182,151092
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,37529,150116
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,37525,150100
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,37525,150100
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,37260,149040
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,37260,149040
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,37256,149024
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",8,18440,147520
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,24371,146226
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,24115,144690
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,24115,144690
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,24115,144690
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,18829,131803
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,18655,130585
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",7,18447,129129
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",7,18440,129080
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",7,18440,129080
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",7,18440,129080
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,25473,127365
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,25188,125940
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,25182,125910
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,25182,125910
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,24371,121855
"has_place_of_birth, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,24371,121855
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death",5,24371,121855
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,24115,120575
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,24115,120575
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,24115,120575
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,19055,114330
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,18841,113046
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,18829,112974
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,18829,112974
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,18829,112974
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",6,18663,111978
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",6,18655,111930
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",6,18655,111930
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,18655,111930
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,18447,110682
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",6,18447,110682
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",6,18447,110682
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",6,18440,110640
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,18440,110640
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,18440,110640
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,17089,102534
"has_gender, has_position_held, has_occupation, has_date_of_death",4,25481,101924
"has_position_held, has_occupation, has_date_of_death, has_date_of_birth",4,25473,101892
"has_gender, has_position_held, has_date_of_death, has_date_of_birth",4,25473,101892
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",4,25188,100752
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",4,25188,100752
"has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",4,25182,100728
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death",4,24371,97484
"has_place_of_birth, has_gender, has_position_held, has_date_of_death",4,24371,97484
"has_place_of_birth, has_position_held, has_date_of_death, has_date_of_birth",4,24371,97484
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death",4,24115,96460
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",5,19068,95340
"has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,19055,95275
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",5,19055,95275
"has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,19055,95275
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,18841,94205
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,18841,94205
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,18841,94205
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,18829,94145
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,18829,94145
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,18829,94145
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_birth",5,18663,93315
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_birth",5,18663,93315
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation",5,18663,93315
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",5,18655,93275
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death",5,18655,93275
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death",5,18655,93275
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",5,18447,92235
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",5,18447,92235
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",5,18447,92235
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",5,18440,92200
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,17573,87865
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_birth",5,17190,85950
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,17089,85445
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,17089,85445
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,17089,85445
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,11609,81263
"has_place_of_death, has_position_held, has_occupation, has_date_of_birth",4,19068,76272
"has_place_of_death, has_gender, has_position_held, has_date_of_birth",4,19068,76272
"has_place_of_death, has_gender, has_position_held, has_occupation",4,19068,76272
"has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",4,19055,76220
"has_place_of_death, has_gender, has_position_held, has_date_of_death",4,19055,76220
"has_place_of_death, has_position_held, has_occupation, has_date_of_death",4,19055,76220
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,9445,75560
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",4,18841,75364
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",4,18841,75364
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",4,18841,75364
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",4,18829,75316
"has_place_of_birth, has_place_of_death, has_gender, has_position_held",4,18663,74652
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation",4,18663,74652
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_birth",4,18663,74652
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death",4,18655,74620
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held",4,18447,73788
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,12088,72528
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,10331,72317
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,11990,71940
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,11898,71388
"has_gender, has_occupation, has_award_received, has_date_of_birth",4,17690,70760
"has_gender, has_country_of_citizenship, has_occupation, has_award_received",4,17583,70332
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",4,17573,70292
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",4,17573,70292
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,11679,70074
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,11609,69654
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,11609,69654
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,11609,69654
"has_place_of_birth, has_occupation, has_award_received, has_date_of_birth",4,17190,68760
"has_place_of_birth, has_gender, has_occupation, has_award_received",4,17190,68760
"has_place_of_birth, has_gender, has_award_received, has_date_of_birth",4,17190,68760
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received",4,17089,68356
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received",4,17089,68356
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_birth",4,17089,68356
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,9551,66857
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,9507,66549
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",7,9449,66143
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",7,9445,66115
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",7,9445,66115
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,9445,66115
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,9066,63462
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10465,62790
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",6,10332,61992
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10332,61992
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",6,10331,61986
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",6,10331,61986
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,12285,61425
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,12281,61405
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,12200,61000
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_birth",5,12120,60600
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation",5,12091,60455
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",5,12088,60440
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,12088,60440
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,12000,60000
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,11990,59950
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,11990,59950
"has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,11977,59885
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,11900,59500
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,11898,59490
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,11898,59490
"has_place_of_birth, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,11679,58395
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death",5,11679,58395
"has_place_of_birth, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,11679,58395
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,11609,58045
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,11609,58045
"has_place_of_birth, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,11609,58045
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,9617,57702
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,9555,57330
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,9551,57306
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,9551,57306
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,9551,57306
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",6,9511,57066
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,9507,57042
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",6,9507,57042
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",6,9507,57042
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",6,9449,56694
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",6,9449,56694
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,9449,56694
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,9445,56670
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",6,9445,56670
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,9445,56670
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,9305,55830
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,9093,54558
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,9066,54396
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_award_received, has_date_of_birth",6,9066,54396
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received",6,9066,54396
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,6695,53560
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",5,10470,52350
"has_gender, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10466,52330
"has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",5,10465,52325
"has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10465,52325
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_occupation",5,10333,51665
"has_place_of_birth, has_position_held, has_native_language, has_occupation, has_date_of_birth",5,10332,51660
"has_place_of_birth, has_gender, has_position_held, has_native_language, has_date_of_birth",5,10332,51660
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_occupation",5,10332,51660
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language",5,10332,51660
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_birth",5,10331,51655
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",8,6319,50552
"has_gender, has_educated_at, has_occupation, has_date_of_birth",4,12515,50060
"has_gender, has_native_language, has_occupation, has_date_of_birth",4,12321,49284
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation",4,12319,49276
"has_gender, has_country_of_citizenship, has_native_language, has_occupation",4,12315,49260
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",4,12285,49140
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",4,12285,49140
"has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,12281,49124
"has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",4,12281,49124
"has_place_of_birth, has_gender, has_educated_at, has_occupation",4,12212,48848
"has_place_of_birth, has_gender, has_educated_at, has_date_of_birth",4,12200,48800
"has_place_of_birth, has_educated_at, has_occupation, has_date_of_birth",4,12200,48800
"has_place_of_birth, has_gender, has_native_language, has_occupation",4,12123,48492
"has_place_of_birth, has_native_language, has_occupation, has_date_of_birth",4,12121,48484
"has_place_of_birth, has_gender, has_native_language, has_date_of_birth",4,12120,48480
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language",4,12091,48364
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation",4,12091,48364
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_birth",4,12088,48352
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,6875,48125
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",5,9621,48105
"has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",5,9617,48085
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",5,9617,48085
"has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",5,9617,48085
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation",4,12000,48000
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at",4,12000,48000
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_date_of_birth",4,11990,47960
"has_gender, has_occupation, has_award_received, has_date_of_death",4,11979,47916
"has_occupation, has_award_received, has_date_of_death, has_date_of_birth",4,11977,47908
"has_gender, has_award_received, has_date_of_death, has_date_of_birth",4,11977,47908
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,9555,47775
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,9555,47775
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,9555,47775
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",5,9551,47755
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",5,9551,47755
"has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",5,9551,47755
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_death, has_date_of_birth",7,6802,47614
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",4,11900,47600
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",4,11900,47600
"has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",4,11898,47592
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_birth",5,9511,47555
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received",5,9511,47555
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_birth",5,9511,47555
