properties,num_properties,coverage,score
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,24400,146400
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,23509,141054
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,23476,140856
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,23450,140700
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,23437,140622
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,23437,140622
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",6,23292,139752
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",6,23285,139710
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",6,23280,139680
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",6,23280,139680
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",6,23228,139368
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",6,23221,139326
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",6,23221,139326
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",6,23214,139284
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",6,23214,139284
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",6,23209,139254
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,25406,127030
"has_gender, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,25391,126955
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,25301,126505
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,25301,126505
"has_place_of_birth, has_gender, has_position_held, has_occupation",4,31599,126396
"has_place_of_birth, has_gender, has_position_held, has_date_of_birth",4,31530,126120
"has_place_of_birth, has_position_held, has_occupation, has_date_of_birth",4,31530,126120
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held",4,31496,125984
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation",4,31496,125984
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_birth",4,31431,125724
"has_place_of_birth, has_gender, has_position_held, has_occupation, has_date_of_death",5,24487,122435
"has_place_of_birth, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,24479,122395
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,24479,122395
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,24407,122035
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,24407,122035
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,24400,122000
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,20164,120984
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_death",5,23548,117740
"has_place_of_death, has_gender, has_position_held, has_occupation, has_date_of_birth",5,23522,117610
"has_place_of_death, has_gender, has_position_held, has_date_of_death, has_date_of_birth",5,23509,117545
"has_place_of_death, has_position_held, has_occupation, has_date_of_death, has_date_of_birth",5,23509,117545
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation",5,23491,117455
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",5,23476,117380
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",5,23476,117380
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_date_of_birth",5,23450,117250
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation, has_date_of_birth",5,23450,117250
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",5,23437,117185
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_occupation",5,23300,116500
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_birth",5,23292,116460
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_birth",5,23292,116460
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_date_of_death",5,23285,116425
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation, has_date_of_death",5,23285,116425
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",5,23280,116400
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",5,23228,116140
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",5,23228,116140
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",5,23221,116105
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",5,23214,116070
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,21950,109750
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,13675,109400
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,17142,102852
"has_gender, has_position_held, has_occupation, has_date_of_death",4,25497,101988
"has_gender, has_country_of_citizenship, has_position_held, has_date_of_death",4,25406,101624
"has_country_of_citizenship, has_position_held, has_occupation, has_date_of_death",4,25406,101624
"has_position_held, has_occupation, has_date_of_death, has_date_of_birth",4,25391,101564
"has_gender, has_position_held, has_date_of_death, has_date_of_birth",4,25391,101564
"has_country_of_citizenship, has_position_held, has_date_of_death, has_date_of_birth",4,25301,101204
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation",5,20199,100995
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_birth",5,20188,100940
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",5,20164,100820
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",5,20164,100820
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,14263,99841
"has_place_of_birth, has_gender, has_position_held, has_date_of_death",4,24487,97948
"has_place_of_birth, has_position_held, has_occupation, has_date_of_death",4,24487,97948
"has_place_of_birth, has_position_held, has_date_of_death, has_date_of_birth",4,24479,97916
"has_place_of_birth, has_country_of_citizenship, has_position_held, has_date_of_death",4,24407,97628
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,12116,96928
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,13770,96390
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,13692,95844
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",7,13678,95746
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",7,13678,95746
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",7,13675,95725
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",7,13675,95725
"has_place_of_death, has_gender, has_position_held, has_occupation",4,23564,94256
"has_place_of_death, has_position_held, has_occupation, has_date_of_death",4,23548,94192
"has_place_of_death, has_gender, has_position_held, has_date_of_death",4,23548,94192
"has_place_of_death, has_position_held, has_occupation, has_date_of_birth",4,23522,94088
"has_place_of_death, has_gender, has_position_held, has_date_of_birth",4,23522,94088
"has_place_of_death, has_position_held, has_date_of_death, has_date_of_birth",4,23509,94036
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held",4,23491,93964
"has_place_of_death, has_country_of_citizenship, has_position_held, has_occupation",4,23491,93964
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_death",4,23476,93904
"has_place_of_death, has_country_of_citizenship, has_position_held, has_date_of_birth",4,23450,93800
"has_place_of_birth, has_place_of_death, has_gender, has_position_held",4,23300,93200
"has_place_of_birth, has_place_of_death, has_position_held, has_occupation",4,23300,93200
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_birth",4,23292,93168
"has_place_of_birth, has_place_of_death, has_position_held, has_date_of_death",4,23285,93140
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held",4,23228,92912
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,18450,92250
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,12718,89026
"has_gender, has_country_of_citizenship, has_native_language, has_occupation",4,22140,88560
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,14670,88020
"has_gender, has_native_language, has_occupation, has_date_of_birth",4,21986,87944
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",4,21951,87804
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",4,21950,87800
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_birth",5,17211,86055
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received",5,17155,85775
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",5,17142,85710
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",5,17142,85710
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,14281,85686
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,14267,85602
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,14263,85578
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,14263,85578
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,12176,85232
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,12160,85120
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",7,12116,84812
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",7,12116,84812
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",7,12116,84812
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",7,12116,84812
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",6,13919,83514
"has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,13787,82722
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,13775,82650
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,13774,82644
"has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,13771,82626
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,13770,82620
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death",6,13695,82170
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_birth",6,13695,82170
"has_place_of_birth, has_place_of_death, has_gender, has_native_language, has_date_of_death, has_date_of_birth",6,13692,82152
"has_place_of_birth, has_place_of_death, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",6,13692,82152
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation",6,13681,82086
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",6,13678,82068
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_birth",6,13678,82068
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death",6,13678,82068
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_birth",6,13678,82068
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",6,13675,82050
"has_place_of_birth, has_gender, has_native_language, has_occupation",4,20225,80900
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language",4,20199,80796
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation",4,20199,80796
"has_place_of_birth, has_gender, has_native_language, has_date_of_birth",4,20188,80752
"has_place_of_birth, has_native_language, has_occupation, has_date_of_birth",4,20188,80752
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_birth",4,20164,80656
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",9,8741,78669
"has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12921,77526
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",9,8568,77112
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",7,11014,77098
"has_place_of_birth, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12767,76602
"has_place_of_birth, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,12719,76314
"has_place_of_birth, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,12718,76308
"has_place_of_birth, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12718,76308
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",7,10740,75180
"has_gender, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,14867,74335
"has_gender, has_country_of_citizenship, has_occupation, has_award_received",4,18567,74268
"has_gender, has_occupation, has_award_received, has_date_of_birth",4,18541,74164
"has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",4,18451,73804
"has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",4,18450,73800
"has_gender, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,14691,73455
"has_gender, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",5,14679,73395
"has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,14671,73355
"has_gender, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",5,14670,73350
"has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12220,73320
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,12179,73074
"has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12177,73062
"has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,12176,73056
"has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,12176,73056
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_birth",6,12160,72960
"has_place_of_birth, has_place_of_death, has_gender, has_award_received, has_date_of_death, has_date_of_birth",6,12160,72960
"has_place_of_birth, has_place_of_death, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",6,12160,72960
"has_place_of_birth, has_place_of_death, has_gender, has_occupation, has_award_received, has_date_of_death",6,12160,72960
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_award_received, has_date_of_death, has_date_of_birth",6,12116,72696
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_occupation, has_award_received",6,12116,72696
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_birth",6,12116,72696
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_occupation, has_award_received, has_date_of_death",6,12116,72696
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_death",6,12116,72696
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_award_received, has_date_of_birth",6,12116,72696
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,9043,72344
"has_place_of_birth, has_gender, has_native_language, has_occupation, has_date_of_death",5,14285,71425
"has_place_of_birth, has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_death, has_date_of_birth",8,8927,71416
"has_place_of_birth, has_gender, has_native_language, has_date_of_death, has_date_of_birth",5,14281,71405
"has_place_of_birth, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,14281,71405
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",5,14267,71335
"has_place_of_birth, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death",5,14267,71335
"has_place_of_birth, has_country_of_citizenship, has_native_language, has_date_of_death, has_date_of_birth",5,14263,71315
"has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,8781,70248
"has_place_of_birth, has_gender, has_educated_at, has_occupation, has_date_of_birth",5,14024,70120
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_occupation",5,14004,70020
"has_place_of_birth, has_place_of_death, has_gender, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,8747,69976
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_birth",8,8742,69936
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_date_of_death, has_date_of_birth",8,8741,69928
"has_place_of_birth, has_place_of_death, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",8,8741,69928
"has_place_of_birth, has_place_of_death, has_gender, has_country_of_citizenship, has_position_held, has_native_language, has_occupation, has_date_of_death",8,8741,69928
"has_gender, has_country_of_citizenship, has_position_held, has_occupation, has_award_received, has_date_of_birth",6,11616,69696
"has_place_of_birth, has_country_of_citizenship, has_educated_at, has_occupation, has_date_of_birth",5,13920,69600
"has_place_of_birth, has_gender, has_country_of_citizenship, has_educated_at, has_date_of_birth",5,13919,69595
"has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_death",5,13792,68960
"has_place_of_death, has_gender, has_native_language, has_occupation, has_date_of_birth",5,13791,68955
"has_place_of_death, has_native_language, has_occupation, has_date_of_death, has_date_of_birth",5,13788,68940
"has_place_of_death, has_gender, has_native_language, has_date_of_death, has_date_of_birth",5,13787,68935
"has_place_of_birth, has_gender, has_occupation, has_award_received",4,17224,68896
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_occupation",5,13779,68895
"has_place_of_death, has_country_of_citizenship, has_native_language, has_occupation, has_date_of_death",5,13776,68880
"has_place_of_death, has_gender, has_country_of_citizenship, has_native_language, has_date_of_death",5,13775,68875
