row_id,line_id,lang,gt,gt_normalized,gt_geonames_id,llm_output,llm_normalized,llm_geonames_id,match
49,Q181182,pl,Burdż Hammud,Burdż Hammud,Q895235,Biblis,Biblis,Q375875,False
50,Q181182,ru,Бурдж Хамуд,Бурдж Хамуд,Q895235,Бейрут,Бейрут,Q3820,False
51,Q181182,zh,波爾哈蒙,nan,nan,卡拉奇,卡拉奇,Q8660,False
52,Q57350,ar,فادا,فادا,Q985562,نجم الشلال,nan,nan,False
53,Q57350,en,Fada,Fada,Q985562,Fada,Fada,Q985562,True
54,Q57350,de,Fada,Fada,Q985562,Fada,Fada,Q985562,True
55,Q57350,fr,Fada,Fada,Q985562,Fada,Fada,Q985562,True
56,Q57350,it,Fada,Fada,Q985562,Ciad,Ciad,Q657,False
57,Q57350,pl,Fada,Fada,Q985562,Abéché,Abéché,Q242587,False
58,Q57350,ru,Фада,Фада,Q985562,Асмара,Асмэра,Q3642,False
59,Q57350,zh,法达,法达,Q985562,阿尔及尔,阿爾及爾,Q3561,False
60,Q1059948,ar,العين,العين,Q234600,"عين

أبوظبي",nan,nan,False
61,Q1059948,en,Al Ain,Al Ain,Q234600,Al Ain,Al Ain,Q234600,True
62,Q1059948,de,Al-Ain,Al-Ain,Q234600,Abu Dhabi,Abu Dhabi,Q1519,False
63,Q1059948,fr,Al-Aïn,Al-Aïn,Q234600,Al-Aïn,Al-Aïn,Q234600,True
64,Q1059948,it,Al-'Ayn,Al-'Ayn,Q234600,Emirati Arabi Uniti,Emirati Arabi Uniti,Q878,False
65,Q1059948,pl,Al-Ajn,Al-Ajn,Q234600,Medyna,Medyna,Q35484,False
66,Q1059948,ru,Эль-Айн,Эль-Айн,Q234600,Мекка,Мекка,Q234167,False
67,Q1059948,zh,艾因,艾因,Q234600,阿布扎比,阿布扎比,Q187712,False
68,Q152378,ar,مخيم الشاطئ,مخيم الشاطئ,Q2829277,غزة,غزة,Q47492,False
69,Q152378,en,Al-Shati,Al-Shati refugee camp,Q2829277,Shajaiya,nan,nan,False
70,Q152378,de,Asch-Schati (Flüchtlingslager),nan,nan,Gaza-Stadt,Gaza,Q47492,False
71,Q152378,fr,Al-Shati,Al-Shati,Q2829277,Shuja'iyya,Shuja'iyya,Q607406,False
72,Q152378,pl,Obóz asz-Szati,nan,nan,Jenin,Dżanin,Q374748,False
73,Q152378,zh,沙提難民營,沙提難民營,Q2829277,伊斯梅尔·哈尼亚,nan,nan,False
74,Q130221,ar,ييزي,ييزي,Q13144,شيراكوسا,nan,nan,False
75,Q130221,en,Iesi,Jesi,Q13144,Jesi,Jesi,Q13144,True
76,Q130221,de,Jesi,Jesi,Q13144,Berlin,Berlin,Q64,False
77,Q130221,fr,Jesi,Jesi,Q13144,Prague,Prague,Q1085,False
78,Q130221,it,Jesi,Jesi,Q13144,Germania,Germania,Q183,False
79,Q130221,pl,Jesi,Jesi,Q13144,Jasnowice,Jasnowice,Q11721351,False
80,Q130221,ru,Ези,Ези,Q13144,Нюрнберг,Нюрнберг,Q2090,False
81,Q130221,zh,耶西,耶西,Q13144,波恩,波恩,Q586,False
82,Q178379,ar,بغداد,بغداد,Q1530,مكة المكرمة,مكة المكرمة,Q5806,False
83,Q178379,en,Baghdad,Baghdad,Q1530,Shirvan,Shirvan,Q241116,False
84,Q178379,de,Bagdad,Bagdad,Q1530,Kars,Kars,Q127063,False
85,Q178379,fr,Bagdad,Bagdad,Q1530,Tbilissi,Tbilissi,Q994,False
86,Q178379,it,Baghdad,Baghdad,Q1530,Persia,Impero persiano,Q83311,False
87,Q178379,pl,Bagdad,Bagdad,Q1530,Bagdad,Bagdad,Q1530,True
88,Q178379,ru,Багдад,Багдад,Q1530,Ташкент,Ташкент,Q269,False
89,Q178379,zh,巴格達,巴格達,Q1530,巴黎,巴黎,Q90,False
90,Q183187,ar,الرياض,الرياض,Q3692,رياض,nan,nan,False
91,Q183187,en,Riyadh,Riyadh Province,Q1249255,Riyadh,Riyadh Province,Q1249255,True
92,Q183187,de,Riad,Riad,Q3692,Riyadh,Provinz Riad,Q1249255,False
93,Q183187,fr,Riyad,Riyad,Q1249255,Riyad,Riyad,Q1249255,True
94,Q183187,it,Riad,Riad,Q3692,Arabia Saudita,Arabia Saudita,Q851,False
95,Q183187,pl,Rijad,Rijad,Q3692,Riyad,Riyad,Q891956,False
96,Q183187,ru,Эр-Рияд,Эр-Рияд,Q3692,Турейф.,nan,nan,False
97,Q183187,zh,利雅德,利雅德,Q3692,利雅得,利雅德,Q3692,True
98,Q483376,en,Danderyd parish,nan,nan,Stockholm,Stockholm,Q1754,False
99,Q483376,de,Danderyd,Danderyd,Q10466522,Stockholm,Stockholm,Q1754,False
100,Q483376,fr,Danderyd,Danderyd,Q113679,Kungsholmen,Kungsholmen,Q666729,False
101,Q483376,ru,Дандерюд,Дандерюд,Q113679,Сент-Этьен,Сент-Этьен,Q42716,False
102,Q58198,en,Taşkent,Taşkent,Q349367,Hatay,Hatay Province,Q83274,False
103,Q58198,de,Taşkent,Taşkent,Q349367,Stamuldal,nan,nan,False
104,Q58198,fr,Taşkent,Taşkent,Q349367,Kula,Koula,Q64831,False
105,Q58198,it,Distretto di Taşkent,Distretto di Taşkent,Q349367,Turchia,Turchia,Q43,False
106,Q58198,ru,Ташкент,Ташкент,Q269,Стамбул,Стамбул,Q406,False
107,Q179825,ar,القيطنة,القيطنة,Q3049894,مستغانم,مستغانم,Q849524,False
108,Q179825,en,Guittena,Guittena,Q3049894,Constantine,Constantine,Q187346,False
109,Q179825,fr,El Guettana,El Guettana,Q3049894,Mascara,Mascara,Q236776,False
110,Q179825,it,El Guettana,El Guettana,Q3049894,Algeria,Algeria,Q262,False
111,Q179825,ru,Гуиттена,Гуиттена,Q3049894,Тарсус,Тарсус,Q134287,False
112,Q643348,ar,المنستير,المنستير,Q208715,موناستير,موناستيراتشي,Q54628,False
113,Q643348,en,Monastir,Bitola,Q157246,Monastir,Bitola,Q157246,True
114,Q643348,de,Monastir,Monastir,Q208715,Monastir,Monastir,Q208715,True
115,Q643348,fr,Monastir,Bitola,Q157246,Monastir,Bitola,Q157246,True
116,Q643348,it,Monastir,Monastir,Q208715,Tunisia,Tunisia,Q948,False
117,Q643348,pl,Monastyr,Monastyr,Q208715,Le Kef,Al-Kaf,Q27155,False
118,Q643348,ru,Монастир,Битола,Q157246,Монастир,Битола,Q157246,True
119,Q643348,zh,莫纳斯提尔,莫纳斯提尔,Q208715,图卜罗,nan,nan,False
120,Q51884,ar,دمشق,دمشق,Q3766,دمشق,دمشق,Q3766,True
121,Q51884,en,Damascus,Damascus,Q3766,Damascus,Damascus,Q3766,True
122,Q51884,de,Damaskus,Damaskus,Q3766,Damaskus,Damaskus,Q3766,True
123,Q51884,fr,Damas,Damas,Q3766,Damas,Damas,Q3766,True
124,Q51884,it,Damasco,Damasco,Q3766,Siria,Siria,Q858,False
125,Q51884,pl,Damaszek,Damaszek,Q3766,Damaszek,Damaszek,Q3766,True
126,Q51884,ru,Дамаск,Дамаск,Q3766,Дамаск.,Дамаск,Q3766,True
127,Q51884,zh,大马士革,大马士革,Q3766,埃及的阿西烏特,nan,nan,False
128,Q57555,ar,مدينة الكويت,مدينة الكويت,Q35178,كويت,مدينة الكويت,Q35178,True
129,Q57555,en,Kuwait City,Kuwait City,Q35178,Kuwait City,Kuwait City,Q35178,True
130,Q57555,de,Kuweit-Stadt,Kuweit-Stadt,Q35178,Kuwait-Stadt,nan,nan,False
131,Q57555,fr,Koweït,Koweït,Q817,Kuwait,Koweït,Q817,True
132,Q57555,it,Al Kuwait,Al Kuwait,Q35178,Kuwait,Kuwait,Q817,False
133,Q57555,pl,Kuwejt,Kuwejt,Q817,Kuwejt,Kuwejt,Q817,True
134,Q57555,ru,Эль-Кувейт,Эль-Кувейт,Q35178,Кувейт,Кувейт,Q817,False
135,Q57555,zh,科威特城,科威特城,Q35178,科威特城,科威特城,Q35178,True
136,Q313539,ar,سيدي بوسعيد,سيدي بوسعيد,Q877391,موناستير,موناستيراتشي,Q54628,False
137,Q313539,en,Sidi Bou Said,Sidi Bou Said,Q877391,Monastir,Bitola,Q157246,False
138,Q313539,de,Sidi Bou Saïd,Sidi Bou Saïd,Q877391,Moknine,Moknine,Q2718752,False
139,Q313539,fr,Sidi Bou Saïd,Sidi Bou Saïd,Q877391,Moknine,Moknine,Q2718752,False
140,Q313539,it,Sidi Bou Said,Sidi Bou Said,Q877391,Tunisia,Tunisia,Q948,False
141,Q313539,ru,Сиди-Бу-Саид,Сиди-Бу-Саид,Q877391,Триполи,Триполи,Q3579,False
142,Q313539,zh,西迪布赛义德,西迪布赛义德,Q877391,加德满都,加德滿都,Q3037,False
143,Q208301,ar,الرياض,الرياض,Q3692,رياض,nan,nan,False
144,Q208301,en,Riyadh,Riyadh Province,Q1249255,Riyadh,Riyadh Province,Q1249255,True
145,Q208301,de,Riad,Riad,Q3692,Medina,Medina,Q236027,False
146,Q208301,fr,Riyad,Riyad,Q1249255,Riyad,Riyad,Q1249255,True
147,Q208301,it,Riad,Riad,Q3692,Arabia Saudita,Arabia Saudita,Q851,False
148,Q208301,pl,Rijad,Rijad,Q3692,Rijad,Rijad,Q3692,True
149,Q208301,ru,Эр-Рияд,Эр-Рияд,Q3692,Рияд.,nan,nan,False
150,Q208301,zh,利雅德,利雅德,Q3692,利雅得,利雅德,Q3692,True
151,Q69103,ar,الرباط,الرباط,Q3551,شفشاون,شفشاون,Q676778,False
152,Q69103,en,Rabat,Rabat,Q3551,Fes,Fez,Q80985,False
153,Q69103,de,Rabat,Rabat,Q3551,Fes,Fès,Q80985,False
154,Q69103,fr,Rabat,Rabat,Q3551,Fès,Fès,Q80985,False
155,Q69103,it,Rabat,Rabat,Q3551,Marocco,Marocco,Q1028,False
156,Q69103,pl,Rabat,Rabat,Q3551,Fes,Fez,Q80985,False
157,Q69103,ru,Рабат,Рабат,Q3551,Фес,Фес,Q80985,False
158,Q69103,zh,拉巴特,拉巴特,Q3551,费兹拉赫,nan,nan,False
159,Q312458,en,Djam,Djam,Q1262222,Nishapur,Nishapur,Q131350,False
160,Q312458,de,Dschām (Ort),Dschām (Ort),Q1262222,Nishapur,Nischapur,Q131350,False
161,Q312458,fr,Djam,Djam,Q1262222,Toulouse,Toulouse,Q7880,False
162,Q312458,it,Djam,Djam,Q1262222,Giami,Giami,Q10908335,False
163,Q312458,ru,Джам,Ямайка,Q766,Тбилиси,Тбилиси,Q994,False
164,Q192778,ar,صيدا,صيدا,Q163490,طرف,طرف,Q5677442,False
165,Q192778,en,Sidon,Sidon,Q163490,Sidon,Sidon,Q163490,True
166,Q192778,de,Sidon,Sidon,Q163490,Sidon,Sidon,Q163490,True
167,Q192778,fr,Sidon,Sidon,Q163490,Saida,Saïda,Q401452,False
168,Q192778,it,Sidone,Sidone,Q163490,Siria,Siria,Q858,False
169,Q192778,pl,Sydon,Sydon,Q163490,Bejrut,Bejrut,Q3820,False
170,Q192778,ru,Сайда,Сайда,Q163490,Бейрут.,Бейрут,Q3820,False
171,Q192778,zh,赛达,赛达,Q163490,拉合尔,拉合爾,Q11739,False
172,Q188783,ar,دغانيا ألف,دغانيا ألف,Q2371396,موسى دايان,nan,nan,False
173,Q188783,en,Degania Alef,Degania Alef,Q2371396,Degania Alef,Degania Alef,Q2371396,True
174,Q188783,de,Degania Alef,Degania Alef,Q2371396,Tel Aviv,Tel Aviv-Jaffa,Q33935,False
175,Q188783,fr,Degania,Degania,Q2371396,Mekor,Mekoryuk,Q80182,False
176,Q188783,it,Degania Alef,Degania Alef,Q2371396,Israele,Israele,Q801,False
177,Q188783,pl,Degania Alef,Degania Alef,Q2371396,Nazaret,Nazaret,Q430776,False
178,Q188783,ru,Дгания,Дгания,Q2371396,Тверия,Тверия,Q151920,False
179,Q188783,zh,德加尼亞阿勒夫,德加尼亞阿勒夫,Q2371396,布拉格,布拉格,Q1085,False
180,Q193660,ar,ميورقة,ميورقة,Q8826,بيت شان,بيسان,Q152368,False
181,Q193660,en,Palma de Mallorca,Palma,Q8826,Palma de Mallorca,Palma,Q8826,True
182,Q193660,de,Palma,Palma,Q8826,Palma de Mallorca,Palma,Q8826,True
183,Q193660,fr,Palma de Majorque,Palma de Majorque,Q8826,Tolède,Tolède,Q5836,False
184,Q193660,it,Palma di Maiorca,Palma di Maiorca,Q8826,Spagna,Spagna,Q29,False
185,Q193660,pl,Palma,Palma,Q8826,Majorca,Majorka,Q8828,False
186,Q193660,ru,Пальма,Пальма,Q8826,Сиракузы,Сиракузы,Q13670,False
187,Q193660,zh,帕尔马,帕尔马,Q8826,布拉格,布拉格,Q1085,False
188,Q213001,ar,قصر عابدين,nan,nan,مدينة الأقصر,الأقصر,Q130514,False
189,Q213001,en,Abdeen Palace,nan,nan,Alexandria,Alexandria,Q88,False
190,Q213001,de,Abdin-Palast,nan,nan,Kairo,Kairo,Q85,False
191,Q213001,fr,palais d'Abedin,nan,nan,Alexandrie,Alexandrie,Q87,False
192,Q213001,it,Palazzo 'Abidin,nan,nan,Egitto,Egitto,Q79,False
193,Q213001,ru,Дворец Абдин,nan,nan,Каир.,Каир,Q85,False
194,Q213001,zh,蒂恩角宮,nan,nan,布达拉宫,布达拉宫,Q71229,False
195,Q115243,ar,بيروت,بيروت,Q3820,بيروت,بيروت,Q3820,True
196,Q115243,en,Beirut,Beirut,Q3820,Beirut,Beirut,Q3820,True
197,Q115243,de,Beirut,Beirut,Q3820,Beirut,Beirut,Q3820,True
198,Q115243,fr,Beyrouth,Beyrouth,Q3820,Beirut,Beyrouth,Q3820,True
199,Q115243,it,Beirut,Beirut,Q3820,Libano,Libano,Q822,False
200,Q115243,pl,Bejrut,Bejrut,Q3820,Bejrut,Bejrut,Q3820,True
201,Q115243,ru,Бейрут,Бейрут,Q3820,Бейрут.,Бейрут,Q3820,True
202,Q115243,zh,贝鲁特,贝鲁特,Q3820,阿拉木图,阿拉木圖,Q35493,False
203,Q202650,ar,أجدير,أجدير,Q412703,تطاوين,تطوان,Q185157,False
204,Q202650,en,Ajdir,Ajdir,Q412703,Tetouan,Tétouan,Q185157,False
205,Q202650,de,Ajdir,Ajdir,Q412703,Bagdad,Bagdad,Q1530,False
206,Q202650,fr,Ajdir,Ajdir,Q412703,Tétouan,Tétouan,Q185157,False
207,Q202650,it,Ajdir,Ajdir,Q412703,Marocco,Marocco,Q1028,False
208,Q202650,pl,Adżdir,Adżdir,Q412703,Bagdad,Bagdad,Q1530,False
209,Q202650,zh,阿杰迪尔,阿杰迪尔,Q412703,阿尔及尔,阿爾及爾,Q3561,False
210,Q207720,ar,البروة,البروة,Q2914542,عكا,عكا,Q126084,False
211,Q207720,en,Al-Birwa,Al-Birwa,Q2914542,Al-Birwa,Al-Birwa,Q2914542,True
212,Q207720,fr,Al-Birwa,Al-Birwa,Q2914542,Al-Qastal,Qastel,Q1048597,False
213,Q207720,it,Al-Birwa,Al-Birwa,Q2914542,Palestina,Palestina,Q219060,False
214,Q207720,pl,Al-Birwa,Al-Birwa,Q2914542,Ramla,Ramla,Q221447,False
215,Q774155,ar,الأشرفية,الأشرفية,Q722925,بيروت,بيروت,Q3820,False
216,Q774155,en,Achrafieh,Ashrafieh,Q722925,Beirut,Beirut,Q3820,False
217,Q774155,de,Aschrafiyya,Aschrafiyya,Q722925,Beirut,Beirut,Q3820,False
218,Q774155,fr,Achrafieh,Achrafieh,Q722925,Beirut,Beyrouth,Q3820,False
219,Q774155,it,Achrafieh,Achrafieh,Q722925,Libano,Libano,Q822,False
220,Q774155,pl,Al-Aszrafijja,Al-Aszrafijja,Q722925,Bejrut,Bejrut,Q3820,False
221,Q774155,ru,Ашрафия,Ашрафия,Q722925,Бейрут.,Бейрут,Q3820,False
222,Q774155,zh,阿什拉斐叶区,阿什拉斐叶区,Q722925,纽约市,纽约,Q60,False
223,Q186329,ar,بيروت,بيروت,Q3820,أوساكا,أوساكا,Q35765,False
224,Q186329,en,Beirut,Beirut,Q3820,Tallinn,Tallinn,Q1770,False
225,Q186329,de,Beirut,Beirut,Q3820,Stockholm,Stockholm,Q1754,False
226,Q186329,fr,Beyrouth,Beyrouth,Q3820,Taranto,province de Tarente,Q16283,False
227,Q186329,it,Beirut,Beirut,Q3820,Svezia,Svezia,Q34,False
228,Q186329,pl,Bejrut,Bejrut,Q3820,Zabrze,Zabrze,Q103892,False
229,Q186329,ru,Бейрут,Бейрут,Q3820,Хельсинки,Хельсинки,Q1757,False
230,Q186329,zh,贝鲁特,贝鲁特,Q3820,莫斯科,莫斯科,Q649,False
231,Q104392,ar,الخرطوم,الخرطوم,Q1963,مدينة المنيا,المنيا,Q310117,False
232,Q104392,en,Khartoum,Khartoum,Q1963,Alexandria,Alexandria,Q88,False
233,Q104392,de,Khartum,Chartum,Q1963,Kairo,Kairo,Q85,False
234,Q104392,fr,Khartoum,Khartoum,Q1963,Alexandrie,Alexandrie,Q87,False
235,Q104392,it,Khartum,Khartum,Q1963,Egitto,Egitto,Q79,False
236,Q104392,pl,Chartum,Chartum,Q1963,Kair,Kair,Q85,False
237,Q104392,ru,Хартум,Хартум,Q1963,Александрия,Александрия,Q87,False
238,Q104392,zh,喀土穆,喀土穆,Q1963,卡尔曼巴赫,nan,nan,False
239,Q181049,ar,الزرقاء,الزرقاء,Q148062,جريش,جريش,Q33777171,False
240,Q181049,en,Zarqa,Zarqa,Q148062,Salt,Salt,Q13444,False
241,Q181049,de,Zarqa,Zarqa,Q148062,Bagdad,Bagdad,Q1530,False
242,Q181049,fr,Zarka,Zarka,Q148062,Bagdad,Bagdad,Q1530,False
243,Q181049,it,Zarqa,Zarqa,Q148062,Siria,Siria,Q858,False
244,Q181049,pl,Az-Zarka,Az-Zarka,Q721445,Herat,Herat,Q182844,False
245,Q181049,ru,Эз-Зарка,Эз-Зарка,Q721445,Багдад,Багдад,Q1530,False
246,Q181049,zh,扎尔卡,扎尔卡,Q148062,巴格达,巴格達,Q1530,False
247,Q57390,ar,ديرة داوا,ديرة داوا,Q193486,الدار البيضاء,الدار البيضاء,Q7903,False
248,Q57390,en,Dire Dawa,Dire Dawa,Q193486,Djibouti City,Djibouti,Q3604,False
249,Q57390,de,Dire Dawa,Dire Dawa,Q193486,Djibuti,Dschibuti,Q977,False
250,Q57390,fr,Dire Dawa,Dire Dawa,Q193486,Djibouti,Djibouti,Q977,False
251,Q57390,it,Dire Daua,Dire Daua,Q193486,Djibuti,Gibuti,Q977,False
252,Q57390,pl,Dire Daua,Dire Daua,Q193486,Dżibuti,Dżibuti,Q977,False
253,Q57390,ru,Дыре-Дауа,Дыре-Дауа,Q193486,Асмэра,Асмэра,Q3642,False
254,Q57390,zh,德雷达瓦,德雷达瓦,Q193486,加达尔法,nan,nan,False
255,Q188653,ar,الجورة,الجورة,Q2916344,بيت لحم,بيت لحم,Q164380,False
256,Q188653,en,"Al-Jura, Jerusalem","Al-Jura, Jerusalem",Q4702644,Jaffa,Jaffa,Q180294,False
257,Q188653,fr,Al-Jura,Al-Jura,Q4702644,Tanger,Tanger,Q126148,False
258,Q188653,pl,Al-Dżura,Al-Dżura,Q4702644,Kair,Kair,Q85,False
259,Q641805,ar,مدينة الكويت,مدينة الكويت,Q35178,كويت,مدينة الكويت,Q35178,True
260,Q641805,en,Kuwait City,Kuwait City,Q35178,Kuwait City,Kuwait City,Q35178,True
261,Q641805,de,Kuweit-Stadt,Kuweit-Stadt,Q35178,Kuwait-Stadt,nan,nan,False
262,Q641805,fr,Koweït,Koweït,Q817,Kuwait,Koweït,Q817,True
263,Q641805,it,Al Kuwait,Al Kuwait,Q35178,Kuwait,Kuwait,Q817,False
264,Q641805,pl,Kuwejt,Kuwejt,Q817,Kuwejt,Kuwejt,Q817,True
265,Q641805,ru,Эль-Кувейт,Эль-Кувейт,Q35178,Кувейт.,Кувейт,Q817,False
266,Q641805,zh,科威特城,科威特城,Q35178,科威特城,科威特城,Q35178,True
267,Q294969,ar,أكجوجت,أكجوجت,Q419544,موريتانيا,موريتانيا,Q1025,False
268,Q294969,en,Akjoujt,Akjoujt,Q419544,Nouakchott,Nouakchott,Q3688,False
269,Q294969,de,Akjoujt,Akjoujt,Q419544,Nouakchott,Nouakchott,Q3688,False
270,Q294969,fr,Akjoujt,Akjoujt,Q419544,Nouadhibou,Nouadhibou,Q184184,False
271,Q294969,it,Akjoujt,Akjoujt,Q419544,Mauritania,Mauritania,Q1025,False
272,Q294969,pl,Akdżawadżat,Akdżawadżat,Q419544,Timbuktu,Timbuktu,Q9427,False
273,Q294969,ru,Акжужт,Акжужт,Q419544,Адrar,nan,nan,False
274,Q294969,zh,阿克茹特,阿克茹特,Q419544,阿尔及尔,阿爾及爾,Q3561,False
275,Q298577,ar,مكة المكرمة,مكة المكرمة,Q5806,حماة,حماة,Q173545,False
276,Q298577,en,Mecca,Mecca Province,Q234167,Mosul,Mosul,Q83317,False
277,Q298577,de,Mekka,Provinz Mekka,Q234167,Bagdad,Bagdad,Q1530,False
278,Q298577,fr,La Mecque,la Mecque,Q234167,La Mecque,la Mecque,Q234167,True
279,Q298577,it,La Mecca,provincia della Mecca,Q234167,Siria,Siria,Q858,False
280,Q298577,pl,Mekka,Mekka,Q234167,Aleppo,Aleppo,Q41183,False
281,Q298577,ru,Мекка,Мекка,Q234167,Мекка.,Мекка,Q234167,True
282,Q298577,zh,麥加,麥加,Q5806,安提阿,安条克,Q80561,False
283,Q7173106,ar,ساوث بند,ساوث بند,Q486877,الدار البيضاء,الدار البيضاء,Q7903,False
284,Q7173106,en,South Bend,South Bend,Q486877,South Bend,South Bend,Q486877,True
285,Q7173106,de,South Bend,South Bend,Q486877,South Bend,South Bend,Q486877,True
286,Q7173106,fr,South Bend,South Bend,Q486877,South Bend,South Bend,Q486877,True
287,Q7173106,it,South Bend,South Bend,Q486877,Stati Uniti d'America,Stati Uniti d'America,Q30,False
288,Q7173106,pl,South Bend,South Bend,Q486877,Midland,Midland,Q128321,False
289,Q7173106,ru,Саут-Бенд,Саут-Бенд,Q486877,Мельбурн,Мельбурн,Q3141,False
290,Q7173106,zh,南本德,南本德,Q486877,伦敦,伦敦,Q92561,False
291,Q307665,ar,المدينة المنورة,المدينة المنورة,Q35484,مكة,مكة,Q2097028,False
292,Q307665,en,Medina,Medina Province,Q236027,Mecca,Mecca Province,Q234167,False
293,Q307665,de,Medina,Medina,Q236027,Medina,Medina,Q236027,True
294,Q307665,fr,Médine,Médine,Q236027,La Mecque,la Mecque,Q234167,False
295,Q307665,it,Medina,Medina,Q35484,Medina,Medina,Q35484,True
296,Q307665,ru,Медина,Медина,Q35484,Мекка.,Мекка,Q234167,False
297,Q307665,zh,麦地那,麦地那,Q35484,麦加,麥加,Q5806,False
298,Q181832,ar,يزد,يزد,Q170568,بيت شان,بيسان,Q152368,False
299,Q181832,en,Yazd,Yazd,Q182394,Tel Aviv,Tel Aviv,Q33935,False
300,Q181832,de,Yazd,Yazd,Q182394,Tel Aviv,Tel Aviv-Jaffa,Q33935,False
301,Q181832,fr,Yazd,Yazd,Q182394,Yeroham,Yeruham,Q1687708,False
