Q_number,LoE,LoQ,prop,gt,gt_en,llm_output,llm_output_en,eval,eval_type,model,primary_annotator,secondary_annotator,primary_judgment,secondary_judgment,notes
Q37140234,ru,pl,CoC,['Turcja'],['Turkey'],[Nagorno-Karabach],Nagorno-Karabakh,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Andrea,Kanchan,agree,agree,
Q888367,pl,pl,CoC,['Polska'],['Poland'],[Rodzimy],Native,FP,no_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,agree,agree,
Q1819749,ru,pl,CoC,"['Związek Socjalistycznych Republik Radzieckich', 'Rosyjska Federacyjna Socjalistyczna Republika Radziecka (1918–1922)', 'Imperium Rosyjskie']","['Soviet Union', 'Russian Socialist Federative Soviet Republic', 'Russian Empire']",[Polska],Poland,FP,no_match,gemma-2-9b-it,Andrea,Kanchan,agree,agree,
Q713079,zh,it,PoB,['Tainan'],['Tainan'],Cina,China,TP,country_match,glm-4-9b-chat-hf,Andrea,Kanchan,disagree,agree,Diachronic Identity - at that 1893 it was part of china 
Q704649,fr,it,PoB,['Parigi'],['Paris'],Francia,France,TP,country_match,Qwen3-8B,Andrea,Kanchan,agree,agree,
Q5650929,hi,it,PoB,['Surat'],['Surat'],India,India,TP,country_match,Qwen3-8B,Andrea,Kanchan,agree,agree,
Q86419,de,it,PoB,['Praga'],['Prague'],"Praga, Boemia (oggi Praga, Repubblica Ceca).","Prague, Bohemia (now Prague, Czech Republic)",TP,exact_match,phi-4,Andrea,Kanchan,agree,agree,
Q284136,ru,it,PoB,['Mosca'],['Moscow'],Russia,Russia,TP,country_match,Qwen3-8B,Andrea,Kanchan,agree,agree,
Q1631452,hi,it,PoB,['Cambridge'],['Cambridge'],India,India,FP,no_match,Qwen3-8B,Andrea,Kanchan,agree,agree,
Q3074901,en,it,PoB,['Buenos Aires'],['Buenos Aires'],Svezia,Sweden,FP,no_match,Meta-Llama-3_1-8B-Instruct,Andrea,Kanchan,agree,agree,
Q887821,fr,it,PoB,['Beirut'],['Beirut'],Lituania,Lithuania,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Andrea,Kanchan,agree,agree,
Q706886,en,it,PoB,['Columbus'],['Columbus'],Irlanda,Ireland,FP,no_match,Olmo-3-7B-Instruct,Andrea,Kanchan,agree,agree,
Q307784,ar,it,PoB,['Il Cairo'],['Cairo'],Iraq,Iraq,FP,no_match,gemma-3-12b-it,Andrea,Kanchan,agree,agree,
Q5606144,en,it,PoB,['Baltimora'],['Baltimore'],Südtirol,South Tyrol,FP,no_match,Olmo-3-7B-Instruct,Andrea,Kanchan,agree,agree,
Q564686,fr,pl,PoB,['Paryż'],['Paris'],Paryż,Paris,TP,exact_match,gemma-3-12b-it,Andrea,Kanchan,agree,agree,
Q212190,ar,pl,PoB,['Kair'],['Cairo'],Kair.,Cairo,TP,exact_match,phi-4,Andrea,Kanchan,agree,agree,
Q643348,fr,pl,PoB,['Monastyr'],['Monastir'],Tunis,Tunis,TP,country_match,Mistral-7B-Instruct-v0_3,Andrea,Kanchan,disagree,disagree,same country but different cities (Diachronic Identity) AS: techincally still a true positive (different score is counted by weights)
Q3092285,fr,pl,PoB,['Paryż'],['Paris'],Paryż.,Paris,TP,exact_match,phi-4,Andrea,Kanchan,agree,agree,
Q532733,it,pl,PoB,['Wenecja'],['Venice'],Wenecja.,Venice,TP,exact_match,phi-4,Andrea,Kanchan,agree,agree,
Q284087,en,pl,PoB,['Odessa'],['Odesa'],Warszawa,Warsaw,FP,no_match,Olmo-3-7B-Instruct,Andrea,Kanchan,agree,agree,
Q1988523,de,pl,PoB,['Lwów'],['Lviv'],Bełchatów,Bełchatów,FP,no_match,phi-4,Andrea,Kanchan,agree,agree,
Q551475,it,pl,PoB,['Moskwa'],['Moscow'],"Alexandria, Egypt","Alexandria, Egypt",FP,no_match,Moonlight-16B-A3B-Instruct,Andrea,Kanchan,agree,agree,
Q705607,ar,pl,PoB,['Sattat'],['Settat'],Monastyr,Monastery,FP,no_match,gemma-3-12b-it,Andrea,Kanchan,agree,agree,
Q970115,ar,pl,PoB,['Aleppo'],['Aleppo'],Bejrut,Beirut,FP,no_match,gemma-3-12b-it,Andrea,Kanchan,agree,agree,
Q112554,de,pl,PoB,['Wiedeń'],['Vienna'],Wrocław,Wrocław,FP,no_match,Mistral-7B-Instruct-v0_3,Andrea,Kanchan,agree,agree,
Q1491039,it,zh,CoC,['威尼斯共和国'],['Republic of Venice'],[意大利],"[""Italy""]",TP,historical_match,phi-4,Duo,Kanchan,disagree,agree,"historically, ""Repubblica di Venezia""  was not part of italy"
Q70849,de,zh,CoC,['普魯士王國'],['Kingdom of Prussia'],[德國],"[""Germany""]",TP,historical_match,Qwen3-8B,Duo,Kanchan,agree,agree,prusse was part of germany
Q653624,it,zh,CoC,['威尼斯共和国'],['Republic of Venice'],[義大利],Italy,TP,historical_match,Qwen3-14B,Duo,Kanchan,agree,agree,
Q729274,ru,zh,CoC,"['蘇聯', '俄罗斯', '俄罗斯帝国']","['Soviet Union', 'Russia', 'Russian Empire']",[俄羅斯],"[""Russia""]",TP,historical_match,gemma-2-9b-it,Duo,Kanchan,agree,agree,
Q96825,de,zh,CoC,['東德'],['German Democratic Republic'],[德國],"[""Germany""]",TP,historical_match,phi-4,Duo,Kanchan,agree,agree,
Q988431,zh,zh,CoC,['中华人民共和国'],"[""People's Republic of China""]",[‘中國香港’],"[""China Hong Kong""]",FP,no_match,glm-4-9b-chat-hf,Duo,Kanchan,agree,agree,
Q1530440,zh,zh,CoC,['美國'],['United States of America'],[中國],"[""China""]",FP,no_match,gemma-3-12b-it,Duo,Kanchan,agree,agree,
Q8063471,de,zh,CoC,"['奥斯曼帝国', '英国']","['Ottoman Empire', 'United Kingdom']",[亞美尼亞],"[""Armenia""]",FP,no_match,Meta-Llama-3_1-8B-Instruct,Duo,Kanchan,disagree,disagree,historically Armenia was part of Ottoman Empire
Q628120,ar,zh,CoC,['摩洛哥'],['Morocco'],[马爾地方或者鉾爾國],"[""Maldives"", ""Mauritania""]",FP,no_match,Olmo-3-7B-Instruct,Duo,Kanchan,agree,agree,
Q711873,zh,zh,CoC,"['清朝', '明朝']","['Qing dynasty', 'Ming dynasty']",[中國],"[""China""]",FP,no_match,phi-4,Duo,Kanchan,disagree,disagree,qing and ming dinasties were part of china
Q213754,en,zh,CoC,['荷蘭'],['Netherlands'],[美國],"[""United States""]",FP,no_match,gemma-2-9b-it,Duo,Kanchan,agree,agree,
Q733342,it,zh,PoB,['帕多瓦'],['Padua'],威尼斯,Venice,TP,country_match,Moonlight-16B-A3B-Instruct,Duo,Kanchan,agree,agree,
Q250210,it,zh,PoB,['威尼斯'],['Venice'],威尼斯,Venice,TP,exact_match,Qwen3-8B,Duo,Kanchan,agree,agree,
Q183137,it,zh,PoB,['威尼斯'],['Venice'],威尼斯,Venice,TP,exact_match,DeepSeek-V2-Lite-Chat,Duo,Kanchan,agree,agree,
Q183137,it,zh,PoB,['威尼斯'],['Venice'],威尼斯,Venice,TP,exact_match,Qwen3-8B,Duo,Kanchan,agree,agree,
Q348690,pl,zh,PoB,['卡利什'],['Kalisz'],出生地：波蘭,Place of birth: Poland,TP,country_match,DeepSeek-V2-Lite-Chat,Duo,Kanchan,agree,agree,verbose answer
Q72790,it,zh,PoB,['布宜諾斯艾利斯'],['Buenos Aires'],維多利亞市,Victoria City,FP,no_match,Meta-Llama-3_1-8B-Instruct,Duo,Kanchan,agree,agree,
Q312637,it,zh,PoB,['普拉托'],['Prato'],香港,Hong Kong,FP,no_match,Moonlight-16B-A3B-Instruct,Duo,Kanchan,agree,agree,
Q515867,pl,zh,PoB,['里加'],['Riga'],維爾沙瓦,Warsaw,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Duo,Kanchan,agree,agree,no sense
Q5439490,hi,zh,PoB,['珀斯'],['Perth'],倫敦,London,FP,no_match,phi-4,Duo,Kanchan,agree,agree,
Q1605715,fr,zh,PoB,['土伦'],['Toulon'],洛朗·Truguet 出生於法國的�oulaines。,"Laurent Truguet was born in Soulaines, France.",FP,no_match,Mistral-7B-Instruct-v0_3,Duo,Kanchan,agree,agree,no sense
Q741921,en,zh,PoB,['新奥尔良'],['New Orleans'],洛根,Logan,FP,no_match,glm-4-9b-chat-hf,Duo,Kanchan,disagree,agree,"same country, no same states"
Q471450,fr,en,CoC,['Czechoslovakia'],['Czechoslovakia'],[Czech Republic],[Czech Republic],TP,historical_match,Mistral-7B-Instruct-v0_3,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q155860,fr,en,CoC,['Soviet Union'],['Soviet Union'],[Russia],[Russia],TP,historical_match,Qwen3-8B,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q189512,zh,en,CoC,['Qing dynasty'],['Qing dynasty'],[China],[China],TP,historical_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q716959,zh,en,CoC,['Qing dynasty'],['Qing dynasty'],[China],[China],TP,historical_match,gemma-2-9b-it,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q6539998,zh,en,CoC,"['Republic of China', ""People's Republic of China""]","['Republic of China', ""People's Republic of China""]",[Taiwan],[Taiwan],TP,historical_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,disagree,disagree,"GT is incomplete, entity born in China, later fled to Taiwan(src: Wikipedia), Taiwan should be included in GT"
Q2357893,de,en,CoC,"['United States of America', 'Austria']","['United States of America', 'Austria']",[Italy],[Italy],FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q58830,de,en,CoC,['Germany'],['Germany'],[Austria],[Austria],FP,no_match,Meta-Llama-3_1-8B-Instruct,Kanchan,Kanchan,agree,agree,
Q67271,de,en,CoC,"['Kingdom of Württemberg', 'Weimar Republic']","['Kingdom of Württemberg', 'Weimar Republic']",[Austria],[Austria],FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q5710849,hi,en,CoC,"['British Raj', 'Dominion of India', 'India']","['British Raj', 'Dominion of India', 'India']",[United States],[United States],FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q2821436,ar,en,CoC,['Egypt'],['Egypt'],[Yemen],[Yemen],FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q3653188,fr,en,CoC,"['Ottoman Empire', 'Soviet Union', 'Turkey']","['Ottoman Empire', 'Soviet Union', 'Turkey']",[Armenia],[Armenia],FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,disagree,disagree,"partial match, Armenia was part of USSR"
Q114424,de,hi,CoC,['ऑस्ट्रिया'],['Austria'],[ऑस्ट्रिया],"[""Austria""]",TP,exact_match,gemma-3-12b-it,Kanchan,Kanchan,agree,agree,
Q4320205,ru,hi,CoC,['सोवियत संघ'],['Soviet Union'],[रूस],"[""Russia""]",TP,historical_match,gemma-2-9b-it,Kanchan,Kanchan,agree,agree,
Q2043799,ar,hi,CoC,"['ट्यूनीशिया का फ्रांसीसी-संरक्षित राज्य', 'ट्यूनिशिया']","['French protectorate of Tunisia', 'Tunisia']",[फ्रांस],"[""France""]",TP,historical_match,Mistral-7B-Instruct-v0_3,Kanchan,Kanchan,disagree,disagree,"llm output is France, Tunisia was under French rule but not annexed, France here is incorrect"
Q710049,zh,hi,CoC,['चिंग राजवंश'],['Qing dynasty'],[चीन],"[""China""]",TP,historical_match,Mistral-7B-Instruct-v0_3,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q715627,zh,hi,CoC,"['चीन गणराज्य', 'चिंग राजवंश']","['Republic of China', 'Qing dynasty']",[चीन],"[""China""]",TP,historical_match,gemma-2-9b-it,Kanchan,Kanchan,agree,agree,"geographically accurate, but not historically"
Q2164929,it,hi,CoC,['इटली'],"['Kingdom of Italy', 'Italy']",[अफ्रिका],"[""Africa""]",FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q2474573,zh,hi,CoC,['चीनी जनवादी गणराज्य'],"[""People's Republic of China""]",[यूएच],UAE,FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q7680787,ru,hi,CoC,['संयुक्त राज्य अमेरिका'],['United States of America'],"[यूक्रेन, रूस]","[""Ukraine"", ""Russia""]",FP,no_match,phi-4,Kanchan,Kanchan,agree,agree,
Q1167073,fr,hi,CoC,['तुर्की'],['Turkey'],[मोर्चो],Morocco,FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q627985,en,hi,CoC,"['चेकोस्लोवाकिया', 'स्वीडन']","['Czechoslovakia', 'Sweden']",[चेक],"[""Czechia""]",FP,no_match,glm-4-9b-chat-hf,Kanchan,Kanchan,disagree,disagree,"llm output says 'czech', which is a valid demonym for gt Czechoslovakia"
Q335448,ar,hi,CoC,['इराक'],['Iraq'],[पाकिस्तान],"[""Pakistan""]",FP,no_match,Qwen3-8B,Kanchan,Kanchan,agree,agree,
Q1588608,ar,en,PoB,['Aleppo'],['Aleppo'],Turkey,Turkey,TP,country_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,disagree,disagree,Aleppo is in Syria
Q3056379,hi,en,PoB,['Mangaluru'],['Mangaluru'],Mangalore,Mangalore,TP,exact_match,gemma-3-12b-it,Kanchan,Kanchan,agree,agree,
Q165816,hi,en,PoB,['Punjab'],['Punjab'],Amritsar,Amritsar,TP,country_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q451969,de,en,PoB,['United Kingdom of Great Britain and Ireland'],['United Kingdom of Great Britain and Ireland'],"Wentworth, Surrey","Wentworth, Surrey",TP,country_match,glm-4-9b-chat-hf,Kanchan,Kanchan,agree,agree,
Q842272,zh,en,PoB,"[""People's Republic of China""]","[""People's Republic of China""]","Liaoning, China","Liaoning, China",TP,country_match,phi-4,Kanchan,Kanchan,agree,agree,
Q1960513,ru,en,PoB,['Kazan'],['Kazan'],Minsk,Minsk,FP,no_match,gemma-3-12b-it,Kanchan,Kanchan,agree,agree,
Q84186,fr,en,PoB,['Vienna'],['Vienna'],Venezuela,Venezuela,FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q1960513,en,en,PoB,['Kazan'],['Kazan'],Minsk,Minsk,FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q310217,de,en,PoB,['Guildford'],['Guildford'],Toronto,Toronto,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Kanchan,Kanchan,agree,agree,
Q212190,ar,en,PoB,['Cairo'],['Cairo'],Shibam,Shibam,FP,no_match,Olmo-3-7B-Instruct,Kanchan,Kanchan,agree,agree,
Q11071010,zh,en,PoB,['Zhejiang'],['Zhejiang'],Xu Jie is from the city of Nanjing.,Xu Jie is from the city of Nanjing.,FP,no_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q3107155,it,hi,PoB,['वेनिस'],['Venice'],वेनिस,Venice,TP,exact_match,gemma-2-9b-it,Kanchan,Kanchan,agree,agree,
Q12884352,fr,hi,PoB,['एथेंस'],['Athens'],एथेंस,Athens,TP,exact_match,gemma-3-12b-it,Kanchan,Kanchan,agree,agree,
Q436738,it,hi,PoB,['विसेंज़ा'],['Vicenza'],गियान गॉर्गियो ट्रिसिनो का जन्मस्थान इटली में था।,Gian Giorgio Trissino's birthplace was in Italy.,TP,country_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q729088,it,hi,PoB,['वेनिस'],['Venice'],सेबास्टियानो वेनियर का जन्मस्थान इटली में है।,Sebastiano Venier's birthplace is in Italy.,TP,country_match,Moonlight-16B-A3B-Instruct,Kanchan,Kanchan,agree,agree,
Q558295,fr,hi,PoB,['फ़्लोरेन्स'],['Florence'],फ़्लोरेंस,Florence,TP,exact_match,gemma-3-12b-it,Kanchan,Kanchan,agree,agree,
Q11101097,zh,hi,PoB,['तियानमेन सिटी'],['Tianmen'],यांग शिआबो,Yang Xiaobo,FP,no_match,glm-4-9b-chat-hf,Kanchan,Kanchan,agree,agree,
Q1871590,fr,hi,PoB,['मार्दिन'],['Mardin'],बेरूत,Beirut,FP,no_match,Meta-Llama-3_1-8B-Instruct,Kanchan,Kanchan,agree,agree,
Q462310,fr,hi,PoB,['पैरिस'],['Paris'],मॉस्को,Moscow,FP,no_match,Qwen3-14B,Kanchan,Kanchan,agree,agree,
Q518623,it,hi,PoB,['इस-हेर्टजनबोस्च'],"[""'s-Hertogenbosch""]",Verona,Verona,FP,no_match,DeepSeek-V2-Lite-Chat,Kanchan,Kanchan,agree,agree,
Q1871590,fr,hi,PoB,['मार्दिन'],['Mardin'],बेयreuth,Bayreuth,FP,no_match,gemma-2-9b-it,Kanchan,Kanchan,agree,agree,
Q4748691,hi,hi,PoB,['आगरा'],['Agra'],अमृतलाल नागर का जन्मस्थान महाराष्ट्र के अंतरिक्ष स्थल है।,Amritlal Nagar's birthplace is the space site in Maharashtra.,FP,no_match,Mistral-7B-Instruct-v0_3,Kanchan,Kanchan,agree,agree,
Q1367171,zh,de,CoC,['Ming-Imperie'],['Ming dynasty'],China,China,TP,historical_match,gemma-3-12b-it,Lisa,Kanchan,agree,agree,
Q254524,pl,de,CoC,"['Russisches Kaiserreich', 'Polen']","['Russian Empire', 'Poland']",[Polen],"[""Poland""]",TP,exact_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q1192341,zh,de,CoC,['Tang-Dynastie'],['Tang dynasty'],[China],"[""China""]",TP,historical_match,DeepSeek-V2-Lite-Chat,Lisa,Kanchan,agree,agree,
Q1150358,zh,de,CoC,['Qing-Dynastie'],['Qing dynasty'],China,China,TP,historical_match,Mistral-7B-Instruct-v0_3,Lisa,Kanchan,agree,agree,
Q451969,ar,de,CoC,['Vereinigtes Königreich Großbritannien und Irland'],['United Kingdom of Great Britain and Ireland'],[Großbritannien],"[""Great Britain""]",TP,substring_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q471450,zh,de,CoC,['Tschechoslowakei'],['Czechoslovakia'],Tschechien,Czechia,FP,no_match,Meta-Llama-3_1-8B-Instruct,Lisa,Kanchan,disagree,disagree,czechia is czech republic
Q7325423,en,de,CoC,['Kanada'],['Canada'],[USA],"[""United States""]",FP,no_match,glm-4-9b-chat-hf,Lisa,Kanchan,agree,agree,
Q3963190,it,de,CoC,['Polen'],['Poland'],Italien,Italy,FP,no_match,Mistral-7B-Instruct-v0_3,Lisa,Kanchan,agree,agree,
Q79034,de,de,CoC,"['Vereinigte Staaten', 'Österreich']","['United States of America', 'Austria']",[Deutschland],"[""Germany""]",FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q6105676,hi,de,CoC,"['Britisch-Indien', 'Indische Union', 'Indien']","['British Raj', 'Dominion of India', 'India']",Frankreich,France,FP,no_match,gemma-2-9b-it,Lisa,Kanchan,agree,agree,
Q62809,de,de,CoC,"['Sowjetunion', 'Deutschland', 'Russisches Kaiserreich', 'Weimarer Republik', 'Bundesrepublik Deutschland bis 1990', 'NS-Staat']","['Soviet Union', 'Germany', 'Russian Empire', 'Weimar Republic', 'West Germany', 'Nazi Germany']",Tschechien,Czechia,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q449254,ar,ru,CoC,['Османская империя'],['Ottoman Empire'],Турция,Turkey,TP,historical_match,Meta-Llama-3_1-8B-Instruct,Lisa,Kanchan,agree,agree,
Q700284,zh,ru,CoC,['империя Тан'],['Tang dynasty'],[Китай],"[""China""]",TP,historical_match,Moonlight-16B-A3B-Instruct,Lisa,Kanchan,agree,agree,
Q439081,it,ru,CoC,['Венецианская республика'],['Republic of Venice'],Италия,Italy,TP,historical_match,Qwen3-14B,Lisa,Kanchan,agree,agree,
Q363049,zh,ru,CoC,"['Китай', 'Китай', 'Китайская Республика (Тайвань)']","[""People's Republic of China"", 'China', 'Taiwan']",Китай,China,TP,exact_match,gemma-2-9b-it,Lisa,Kanchan,agree,agree,
Q712007,zh,ru,CoC,['империя Цин'],['Qing dynasty'],Китай,China,TP,historical_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q537034,en,ru,CoC,['Королевство Великобритания'],['Great Britain'],[Австралия],"[""Australia""]",FP,no_match,Olmo-3-7B-Instruct,Lisa,Kanchan,agree,agree,was a colony
Q298022,pl,ru,CoC,"['СССР', 'Польская Народная Республика', 'Польша']","['Soviet Union', ""Polish People's Republic"", 'Poland']",[Германия],"[""Germany""]",FP,no_match,glm-4-9b-chat-hf,Lisa,Kanchan,agree,agree,
Q77333,de,ru,CoC,['Германия'],['Germany'],Франция,France,FP,no_match,Qwen3-14B,Lisa,Kanchan,agree,agree,
Q15449753,it,ru,CoC,['Боливия'],['Bolivia'],[Португалия],"[""Portugal""]",FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q86362,zh,ru,CoC,"['Китай', 'Австрия', 'Израиль']","[""People's Republic of China"", 'Austria', 'Israel']",Германия,Germany,FP,no_match,NVIDIA-Nemotron-Nano-9B-v2,Lisa,Kanchan,agree,agree,
Q77693,pl,ru,CoC,['Королевство Пруссия'],['Kingdom of Prussia'],Польша,Poland,FP,no_match,Meta-Llama-3_1-8B-Instruct,Lisa,Kanchan,agree,disagree,"(AS) poland once was part of Prussia (LP) yes, but only partly and the relationship Prussia - Germany is equivalent to Tang dynasty (which also had possessions outside modern day China) - China. The relationship Prussia - Poland is more similar to United Kingdom - Australia "
Q12222098,ar,de,PoB,['Kairo'],['Cairo'],Kairo,Cairo,TP,exact_match,Qwen3-14B,Lisa,Kanchan,agree,agree,
Q3184092,ar,de,PoB,['Alexandria'],['Alexandria'],Kairo,Cairo,TP,country_match,Mistral-7B-Instruct-v0_3,Lisa,Kanchan,disagree,disagree,same country but different cities
Q400643,ar,de,PoB,['Kairo'],['Cairo'],Kairo,Cairo,TP,exact_match,phi-4,Lisa,Kanchan,agree,agree,
Q2640952,en,de,PoB,['Florenz'],['Florence'],Firenze,Florence,TP,exact_match,glm-4-9b-chat-hf,Lisa,Kanchan,agree,agree,
Q1234171,it,de,PoB,['Venedig'],['Venice'],Venedig,Venice,TP,exact_match,Meta-Llama-3_1-8B-Instruct,Lisa,Kanchan,agree,agree,
Q988431,zh,de,PoB,['Shanghai'],['Shanghai'],Kuala Lumpur,Kuala Lumpur,FP,no_match,phi-4,Lisa,Kanchan,agree,agree,
Q265603,de,de,PoB,['Wien'],['Vienna'],Stockholm,Stockholm,FP,no_match,phi-4,Lisa,Kanchan,agree,agree,
Q3074901,de,de,PoB,['Buenos Aires'],['Buenos Aires'],Breslau,Wroclaw,FP,no_match,gemma-3-12b-it,Lisa,Kanchan,agree,agree,
Q555226,en,de,PoB,['Yonkers'],['Yonkers'],Bewerkt,Bewerkt,FP,no_match,Olmo-3-7B-Instruct,Lisa,Kanchan,agree,agree,
Q658086,en,de,PoB,['Moskau'],['Moscow'],Jerusalem,Jerusalem,FP,no_match,glm-4-9b-chat-hf,Lisa,Kanchan,agree,agree,
Q570407,zh,de,PoB,['Nanjing'],['Nanjing'],Zhang Xianliang is from Tianjin.,Zhang Xianliang is from Tianjin.,FP,no_match,Moonlight-16B-A3B-Instruct,Lisa,Kanchan,agree,agree,
Q281390,fr,ru,PoB,['Рим'],['Rome'],Рим,Rome,TP,exact_match,Qwen3-8B,Lisa,Kanchan,agree,agree,
Q1232500,it,ru,PoB,['Венеция'],['Venice'],Венеция.,Venice,TP,exact_match,phi-4,Lisa,Kanchan,agree,agree,
